Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,University of Sydney,20,18.7,AUS,ai,US,0.5617872980307758,2.349459577929849,-1.787672279899073
2,University of Melbourne,30,16.2,AUS,ai,UM,1.5148193214758419,1.892459864778056,-0.3776405433022141
3,Monash University,31,13.5,AUS,ai,MU-3,1.6101225238203485,1.3989001745741199,0.21122234924622862
4,Australian National University,26,10.3,AUS,ai,ANU,1.1336065120978154,0.8139405417398251,0.31966597035799027
5,University of Adelaide,17,9.2,AUS,ai,UA-2,0.275877690997256,0.612860667953036,-0.33698297695577994
6,University of Technology Sydney,24,9.0,AUS,ai,UTS,0.9430001074088022,0.5763006909008926,0.3666994165079096
7,UNSW,26,5.6,AUS,ai,U,1.1336065120978154,-0.04521891898554568,1.178825431083361
8,Macquarie University,17,5.1,AUS,ai,MU-2,0.275877690997256,-0.13661886161590425,0.41249655261316026
9,RMIT University,25,4.9,AUS,ai,RU,1.0383033097533088,-0.17317883866804754,1.2114821484213563
10,University of Queensland,11,3.7,AUS,ai,UQ,-0.2959415230697836,-0.39253870098090815,0.09659717791112454
11,University of Western Australia,6,2.5,AUS,ai,UWA,-0.7724575347923166,-0.6118985632937688,-0.1605589714985478
12,University of Wollongong,6,2.4,AUS,ai,UW-2,-0.7724575347923166,-0.6301785518198405,-0.1422789829724761
13,University of Auckland,9,2.1,AUS,ai,UA,-0.4865479277587968,-0.6850185173980555,0.19847058963925873
14,Queensland University of Technology,5,1.6,AUS,ai,QUT,-0.8677607371368232,-0.7764184600284142,-0.09134227710840903
14,Victoria University of Wellington,7,1.6,AUS,ai,VUW,-0.67715433244781,-0.7764184600284142,0.09926412758060421
16,University of Waikato,4,1.4,AUS,ai,UW,-0.9630639394813298,-0.8129784370805575,-0.15008550240077234
17,Massey University,1,1.1,AUS,ai,MU,-1.2489735465148497,-0.8678184026587727,-0.38115514385607696
17,University of Canterbury,1,1.1,AUS,ai,UC,-1.2489735465148497,-0.8678184026587727,-0.38115514385607696
17,University of Otago,2,1.1,AUS,ai,UO,-1.153670344170343,-0.8678184026587727,-0.28585194151157034
