Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,University of Toronto,57,24.0,CND,ai,UT,3.145628182090279,3.0389598804247493,0.10666830166552987
2,University of Waterloo,45,20.0,CND,ai,UW,2.3074362928349825,2.3960283718906057,-0.08859207905562316
3,University of Alberta,36,16.3,CND,ai,UA,1.6787923758935104,1.801316726496523,-0.1225243506030127
4,University of British Columbia,29,13.2,CND,ai,UBC,1.1898471071612542,1.3030448073825616,-0.11319770022130737
5,University of Montreal,20,12.0,CND,ai,UM-2,0.5612031902197818,1.1101653548223187,-0.5489621646025369
6,Simon Fraser University,32,11.6,CND,ai,SFU,1.3993950794750782,1.0458722039689043,0.3535228755061739
7,McGill University,15,5.6,CND,ai,MU-2,0.21195656969674168,0.08147494116768886,0.13048162852905282
8,York University,12,4.5,CND,ai,YU,0.0024085973829175698,-0.09533122367920058,0.09773982106211815
9,Carleton University,5,3.6,CND,ai,CU-2,-0.4865366713493387,-0.23999081309938286,-0.24654585824995584
9,University of Ottawa,9,3.6,CND,ai,UO,-0.20713937493090653,-0.23999081309938286,0.03285143816847633
11,Université Laval,12,3.3,CND,ai,UL,0.0024085973829175698,-0.2882106762394437,0.29061927362236123
12,ETS Montreal,11,2.7,CND,ai,EM,-0.06744072672169046,-0.38465040251956517,0.31720967579787474
13,Concordia University,6,2.2,CND,ai,CU,-0.41668734724473067,-0.4650168410863331,0.048329493841602456
14,University of Guelph,4,2.1,CND,ai,UG,-0.5563859954539467,-0.4810901287996867,-0.07529586665426002
15,Dalhousie University,4,2.0,CND,ai,DU,-0.5563859954539467,-0.4971634165130403,-0.059222578940906434
15,Queen’s University,3,2.0,CND,ai,QU,-0.6262353195585547,-0.4971634165130403,-0.1290719030455144
17,University of Manitoba,4,1.9,CND,ai,UM,-0.5563859954539467,-0.5132367042263939,-0.043149291227552844
18,Western University,4,1.8,CND,ai,WU,-0.5563859954539467,-0.5293099919397475,-0.027076003514199254
19,McMaster University,3,1.6,CND,ai,MU,-0.6262353195585547,-0.5614565673664547,-0.06477875219210005
19,Polytechnique Montreal,2,1.6,CND,ai,PM,-0.6960846436631628,-0.5614565673664547,-0.13462807629670814
19,University of Victoria,8,1.6,CND,ai,UV,-0.2769886990355146,-0.5614565673664547,0.28446786833094007
19,Université du Québec à Montréal,8,1.6,CND,ai,UQM,-0.2769886990355146,-0.5614565673664547,0.28446786833094007
23,University of Regina,6,1.5,CND,ai,UR,-0.41668734724473067,-0.5775298550798083,0.16084250783507759
24,Toronto Metropolitan University,2,1.4,CND,ai,TMU,-0.6960846436631628,-0.5936031427931618,-0.10248150087000096
24,Université de Sherbrooke,4,1.4,CND,ai,US-2,-0.5563859954539467,-0.5936031427931618,0.037217147339215106
26,University of New Brunswick,2,1.3,CND,ai,UNB,-0.6960846436631628,-0.6096764305065154,-0.08640821315664737
27,University of Calgary,2,1.2,CND,ai,UC,-0.6960846436631628,-0.625749718219869,-0.07033492544329378
28,Brock University,1,1.1,CND,ai,BU,-0.7659339677677708,-0.6418230059332226,-0.12411096183454817
29,University of Saskatchewan,1,1.0,CND,ai,US,-0.7659339677677708,-0.6578962936465762,-0.10803767412119458
