Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Technion,50,28.6,EURO,ai,T,2.352869980114997,2.4120502844990104,-0.05918030438401356
2,ETH Zurich,32,25.9,EURO,ai,EZ,0.5557698538602609,1.983405982075974,-1.427636128215713
3,University of Amsterdam,26,24.2,EURO,ai,UA,-0.04326352155798441,1.7135188286985068,-1.7567823502564912
4,EPFL,39,24.0,EURO,ai,E,1.2546421251815472,1.681767398889393,-0.4271252737078459
5,Max Planck Society,18,21.6,EURO,ai,MPS,-0.8419746887823115,1.300750241180028,-2.1427249299623394
6,University of Edinburgh,49,19.9,EURO,ai,UE,2.253031084211956,1.0308630878025604,1.2221679964093957
7,Tel Aviv University,24,17.0,EURO,ai,TAU,-0.24294131336406619,0.5704673555704107,-0.8134086689344769
8,University of Oxford,32,16.9,EURO,ai,UO,0.5557698538602609,0.5545916406658536,0.0011782131944072516
9,Imperial College London,31,16.2,EURO,ai,ICL,0.45593095795722,0.4434616363339555,0.012469321623264473
10,Hebrew University of Jerusalem,35,15.4,EURO,ai,HUJ,0.8552865415693836,0.31645591709750054,0.538830624471883
11,University of Copenhagen,29,14.5,EURO,ai,UC-2,0.25625316615113825,0.17357448295648847,0.08267868319464977
12,LMU Munich,14,13.5,EURO,ai,LM,-1.241330272394475,0.014817333910919543,-1.2561476063053945
13,University College London,26,12.1,EURO,ai,UCL,-0.04326352155798441,-0.207442674752877,0.1641791531948926
14,TU Darmstadt,7,11.9,EURO,ai,TD-2,-1.9402025437157613,-0.23919410456199067,-1.7010084391537705
15,Bar-Ilan University,18,11.6,EURO,ai,BU,-0.8419746887823115,-0.28682124927566144,-0.5551534395066501
16,TU Delft,40,11.3,EURO,ai,TD,1.354481021084588,-0.33444839398933196,1.6889294150739198
17,Sapienza University of Rome,27,11.2,EURO,ai,SUR,0.05657537434505648,-0.3503241088938891,0.4068994832389456
18,University of Cambridge,25,10.4,EURO,ai,UC,-0.14310241746102528,-0.477329828130344,0.3342274106693187
19,TU Munich,27,9.8,EURO,ai,TM,0.05657537434505648,-0.5725841175576853,0.6291594919027418
20,University of Surrey,21,9.3,EURO,ai,US,-0.5424580010731889,-0.6519626920804698,0.10950469100728089
20,University of Trento,13,9.3,EURO,ai,UT-2,-1.341169168297516,-0.6519626920804698,-0.6892064762170462
22,University of Tübingen,24,8.6,EURO,ai,UT,-0.24294131336406619,-0.7630926964123682,0.520151383048302
23,Queen Mary University of London,19,8.1,EURO,ai,QMUL,-0.7421357928792706,-0.8424712709351527,0.10033547805588217
24,Universidade de Lisboa,35,7.7,EURO,ai,UL-2,0.8552865415693836,-0.9059741305533802,1.7612606721227637
25,Ben-Gurion University of the Negev,18,7.6,EURO,ai,BUN,-0.8419746887823115,-0.9218498454579371,0.07987515667562561
26,Cardiff University,16,7.3,EURO,ai,CU,-1.0416524805883933,-0.9694769901716078,-0.0721754904167855
26,King's College London,26,7.3,EURO,ai,KCL,-0.04326352155798441,-0.9694769901716078,0.9262134686136234
28,Saarland University,17,7.0,EURO,ai,SU,-0.9418135846853524,-1.0171041348852785,0.07529055019992614
28,University of Liverpool,32,7.0,EURO,ai,UL,0.5557698538602609,-1.0171041348852785,1.5728739887455394
28,University of Warwick,23,7.0,EURO,ai,UW,-0.34278020926710706,-1.0171041348852785,0.6743239256181714
