Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Tsinghua University,135,12.5,ASI,all,TU,2.0956109388775266,3.3803608631239204,-1.2847499242463938
2,Peking University,135,8.9,ASI,all,PU,2.0956109388775266,1.9185831925838472,0.17702774629367934
3,National University of Singapore,78,8.3,ASI,all,NUS,0.458611216174054,1.6749535808271683,-1.2163423646531144
4,Shanghai Jiao Tong University,156,8.2,ASI,all,SJTU,2.698716099873543,1.6343486455343879,1.064367454339155
5,KAIST,96,7.5,ASI,all,K-2,0.9755584970277822,1.3501140984849294,-0.37455560145714717
6,Zhejiang University,109,5.7,ASI,all,ZU,1.348909310977697,0.6192252632148926,0.7296840477628045
7,HKUST,54,5.5,ASI,all,H,-0.23065182496425024,0.5380153926293328,-0.7686672175935831
8,Chinese Academy of Sciences,76,4.9,ASI,all,CAS,0.4011726294125286,0.294385780872654,0.10678684853987463
8,Seoul National University,52,4.9,ASI,all,SNU,-0.2880904117257756,0.294385780872654,-0.5824761925984296
10,Chinese University of Hong Kong,45,4.7,ASI,all,CUHK-2,-0.48912546539111434,0.21317591028709423,-0.7023013756782086
11,Nanyang Technological University,59,4.5,ASI,all,NTU-2,-0.08705535806043686,0.1319660397015345,-0.21902139776197138
12,Nanjing University,102,4.4,ASI,all,NU,1.1478742573123584,0.09136110440875483,1.0565131529036036
13,Fudan University,73,3.3,ASI,all,FU,0.31501474927024065,-0.3552931838118235,0.6703079330820642
14,University of Tokyo,53,3.2,ASI,all,UT,-0.2593711183450129,-0.3958981191046032,0.1365270007595903
15,Singapore Management University,44,3.1,ASI,all,SMU,-0.5178447587718771,-0.4365030543973831,-0.081341704374494
16,Renmin University of China,55,3.0,ASI,all,RUC,-0.2019325315834876,-0.47710798969016294,0.2751754581066753
16,University of Hong Kong,28,3.0,ASI,all,UHK,-0.9773534528640798,-0.47710798969016294,-0.5002454631739168
18,USTC,33,2.9,ASI,all,U-2,-0.8337569859602665,-0.5177129249829427,-0.31604406097732374
19,City University of Hong Kong,38,2.8,ASI,all,CUHK,-0.6901605190564531,-0.5583178602757226,-0.13184265878073054
20,Harbin Institute of Technology,95,2.7,ASI,all,HIT,0.9468392036470196,-0.5989227955685024,1.545761999215522
20,IISc Bangalore,31,2.7,ASI,all,IB,-0.8911955727217918,-0.5989227955685024,-0.2922727771532895
22,Beihang University,43,2.6,ASI,all,BU,-0.5465640521526397,-0.6395277308612822,0.09296367870864253
22,National Institute of Informatics,35,2.6,ASI,all,NII,-0.7763183991987411,-0.6395277308612822,-0.1367906683374589
22,National Taiwan University,38,2.6,ASI,all,NTU,-0.6901605190564531,-0.6395277308612822,-0.05063278819517092
25,POSTECH,33,2.5,ASI,all,P,-0.8337569859602665,-0.6801326661540621,-0.1536243198062044
25,Yonsei University,32,2.5,ASI,all,YU,-0.8624762793410291,-0.6801326661540621,-0.182343613186967
27,CUHK (SZ),42,2.4,ASI,all,C,-0.5752833455334024,-0.720737601446842,0.14545425591343952
27,KAUST,23,2.4,ASI,all,K,-1.1209499197678932,-0.720737601446842,-0.4002123183210512
27,MBZUAI,34,2.4,ASI,all,M,-0.8050376925795037,-0.720737601446842,-0.08430009113266179
30,BUPT,63,2.3,ASI,all,B,0.027821815462613843,-0.7613425367396218,0.7891643522022357
30,ShanghaiTech University,32,2.3,ASI,all,SU,-0.8624762793410291,-0.7613425367396218,-0.10113374260140728
30,UESTC,63,2.3,ASI,all,U,0.027821815462613843,-0.7613425367396218,0.7891643522022357
