Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,University of Toronto,101,8.7,CND,all,UT,3.2416574625660073,3.877428450565801,-0.6357709879997939
2,University of Waterloo,97,7.0,CND,all,UW-2,3.081328190847132,2.90269597500767,0.17863221583946176
3,University of British Columbia,59,4.3,CND,all,UBC,1.558200109517818,1.3545914550035794,0.2036086545142386
4,Simon Fraser University,51,4.0,CND,all,SFU,1.2375415660800677,1.1825798416697917,0.054961724410276025
5,McGill University,24,2.5,CND,all,MU-2,0.1553189819776603,0.3225217750008524,-0.16720279302319208
6,University of Alberta,43,2.2,CND,all,UA,0.9168830226423174,0.1505101616670646,0.7663728609752527
7,University of Montreal,27,1.9,CND,all,UM-2,0.2755659357668167,-0.021501451666723407,0.2970673874335401
8,Carleton University,17,1.7,CND,all,CU-2,-0.12525724353037124,-0.1361758605559153,0.010918617025544058
8,University of Victoria,22,1.7,CND,all,UV,0.07515434611822273,-0.1361758605559153,0.21133020667413804
10,York University,20,1.6,CND,all,YU,-0.005010289741214849,-0.19351306500051116,0.18850277525929632
11,University of Calgary,22,1.5,CND,all,UC,0.07515434611822273,-0.2508502694451072,0.32600461556332994
12,Concordia University,18,1.4,CND,all,CU,-0.08517492560065243,-0.3081874738897032,0.22301254828905076
12,University of Guelph,11,1.4,CND,all,UG,-0.36575115110868395,-0.3081874738897032,-0.05756367721898076
12,University of Manitoba,11,1.4,CND,all,UM,-0.36575115110868395,-0.3081874738897032,-0.05756367721898076
12,University of Ottawa,15,1.4,CND,all,UO,-0.2054218793898088,-0.3081874738897032,0.10276559449989439
12,Université Laval,13,1.4,CND,all,UL,-0.2855865152492464,-0.3081874738897032,0.022600958640456803
17,Dalhousie University,14,1.3,CND,all,DU,-0.2455041973195276,-0.3655246783342991,0.12002048101477147
17,Queen’s University,10,1.3,CND,all,QU,-0.4058334690384028,-0.3655246783342991,-0.0403087907041037
19,ETS Montreal,11,1.2,CND,all,EM,-0.36575115110868395,-0.4228618827788951,0.057110731670211135
19,Université de Sherbrooke,8,1.2,CND,all,US-2,-0.48599810489784034,-0.4228618827788951,-0.06313622211894526
21,McMaster University,8,1.1,CND,all,MU,-0.48599810489784034,-0.480199087223491,-0.0057990176743493715
21,Memorial University of Newfoundland,3,1.1,CND,all,MUN,-0.6864096945464343,-0.480199087223491,-0.20621060732294333
21,Polytechnique Montreal,3,1.1,CND,all,PM,-0.6864096945464343,-0.480199087223491,-0.20621060732294333
21,Toronto Metropolitan University,2,1.1,CND,all,TMU,-0.7264920124761531,-0.480199087223491,-0.24629292525266216
21,University of New Brunswick,3,1.1,CND,all,UNB,-0.6864096945464343,-0.480199087223491,-0.20621060732294333
21,University of Regina,7,1.1,CND,all,UR,-0.5260804228275592,-0.480199087223491,-0.04588133560406821
21,University of Saskatchewan,4,1.1,CND,all,US,-0.6463273766167155,-0.480199087223491,-0.1661282893932245
21,Université du Québec à Montréal,11,1.1,CND,all,UQM,-0.36575115110868395,-0.480199087223491,0.11444793611480703
21,Western University,5,1.1,CND,all,WU,-0.6062450586869967,-0.480199087223491,-0.12604597146350577
30,Brock University,2,1.0,CND,all,BU,-0.7264920124761531,-0.5375362916680869,-0.18895572080806622
30,Ontario Tech University,1,1.0,CND,all,OTU,-0.7665743304058719,-0.5375362916680869,-0.22903803873778494
30,University of Windsor,1,1.0,CND,all,UW,-0.7665743304058719,-0.5375362916680869,-0.22903803873778494
