Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,ETH Zurich,47,10.7,EURO,all,EZ,0.21974933918925688,4.133697434244649,-3.913948095055392
2,Max Planck Society,41,6.6,EURO,all,MPS,-0.16192056571839997,1.7758168994499568,-1.9377374651683568
3,EPFL,62,6.3,EURO,all,E,1.173924101458399,1.6032890554405892,-0.4293649539821902
4,Technion,73,5.1,EURO,all,T,1.87365226045577,0.9131776794031181,0.9604745810526518
4,Tel Aviv University,46,5.1,EURO,all,TAU,0.1561376883713141,0.9131776794031181,-0.757039991031804
4,University of Edinburgh,80,5.1,EURO,all,UE,2.3189338161813695,0.9131776794031181,1.4057561367782514
7,TU Munich,58,4.2,EURO,all,TM,0.9194774981866277,0.39559414737501525,0.5238833508116125
8,Imperial College London,53,3.8,EURO,all,ICL,0.6014192440969137,0.16555702202919137,0.43586222206772235
9,University College London,58,3.7,EURO,all,UCL,0.9194774981866277,0.10804774069273566,0.811429757493892
9,University of Oxford,52,3.7,EURO,all,UO,0.5378075932789709,0.10804774069273566,0.4297598525862352
11,TU Delft,76,3.6,EURO,all,TD-2,2.064487212909598,0.0505384593562797,2.0139487535533185
12,Hebrew University of Jerusalem,49,3.4,EURO,all,HUJ,0.3469726408251425,-0.06448010331663223,0.41145274414177474
12,TU Darmstadt,28,3.4,EURO,all,TD,-0.9888720263516565,-0.06448010331663223,-0.9243919230350243
12,University of Cambridge,48,3.4,EURO,all,UC-2,0.2833609900071997,-0.06448010331663223,0.34784109332383195
15,Saarland University,28,3.0,EURO,all,SU,-0.9888720263516565,-0.29451722866245583,-0.6943547976892006
16,Aarhus University,34,2.8,EURO,all,AU-2,-0.6072021214439997,-0.40953579133536777,-0.19766633010863188
17,CISPA Helmholtz Center,40,2.7,EURO,all,CHC,-0.22553221653634276,-0.4670450726718235,0.24151285613548074
18,Bar-Ilan University,28,2.6,EURO,all,BU,-0.9888720263516565,-0.5245543540082794,-0.46431767234337706
18,RWTH Aachen University,27,2.6,EURO,all,RAU,-1.0524836771695993,-0.5245543540082794,-0.5279293231613199
18,Sapienza University of Rome,44,2.6,EURO,all,SUR,0.028914386735428465,-0.5245543540082794,0.5534687407437079
18,TU Berlin,28,2.6,EURO,all,TB,-0.9888720263516565,-0.5245543540082794,-0.46431767234337706
18,TU Wien,40,2.6,EURO,all,TW,-0.22553221653634276,-0.5245543540082794,0.2990221374719367
18,Universidade de Lisboa,64,2.6,EURO,all,UL,1.3011474030942847,-0.5245543540082794,1.8257017571025642
18,University of Copenhagen,45,2.6,EURO,all,UC,0.09252603755337127,-0.5245543540082794,0.6170803915616507
25,IST Austria,14,2.4,EURO,all,IA,-1.8794351378028558,-0.6395729166811913,-1.2398622211216646
25,University of Amsterdam,34,2.4,EURO,all,UA,-0.6072021214439997,-0.6395729166811913,0.03237079523719166
25,University of Stuttgart,26,2.4,EURO,all,US,-1.116095327987542,-0.6395729166811913,-0.47652241130635076
25,University of Warwick,35,2.4,EURO,all,UW,-0.5435904706260568,-0.6395729166811913,0.09598244605513451
29,Aalto University,35,2.3,EURO,all,AU,-0.5435904706260568,-0.6970821980176474,0.15349172739159056
29,Graz University of Technology,32,2.3,EURO,all,GUT,-0.7344254230798852,-0.6970821980176474,-0.03734322506223786
29,King's College London,37,2.3,EURO,all,KCL,-0.4163671689901712,-0.6970821980176474,0.2807150290274762
29,LMU Munich,27,2.3,EURO,all,LM,-1.0524836771695993,-0.6970821980176474,-0.35540147915195197
29,University of Bristol,48,2.3,EURO,all,UB,0.2833609900071997,-0.6970821980176474,0.9804431880248471
