Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Carnegie Mellon University,174,20.6,USA,all,CMU,3.1017741741397753,3.4148958069716095,-0.31312163283183425
2,Univ. of Illinois at Urbana-Champaign,113,14.7,USA,all,UIU,1.1390332548189632,1.7750787754090076,-0.6360455205900444
3,Univ. of California - San Diego,130,13.1,USA,all,UCSD,1.6860266257772225,1.3303826312564377,0.35564399452078477
4,Georgia Institute of Technology,145,11.6,USA,all,GIT,2.1686678354462745,0.9134799961134036,1.255187839332871
5,Massachusetts Institute of Technology,96,11.5,USA,all,MIT,0.5920398838607042,0.8856864871038681,-0.29364660324316394
6,Univ. of California - Berkeley,95,10.9,USA,all,UCB,0.5598638032161007,0.7189254330466545,-0.15906162983055372
7,University of Michigan,102,10.8,USA,all,UM,0.785096367728325,0.691131924037119,0.09396444369120605
8,University of Washington,82,10.6,USA,all,UW,0.14157475483625548,0.6355449060180474,-0.4939701511817919
9,Stanford University,68,10.4,USA,all,SU,-0.3088903741881932,0.5799578879989764,-0.8888482621871696
10,Cornell University,84,9.9,USA,all,CU-2,0.20592691612546243,0.4409903429512983,-0.23506342682583586
11,University of Maryland - College Park,89,9.1,USA,all,UMCP,0.3668073193484798,0.21864227087501314,0.14816504847346668
12,Northeastern University,87,8.3,USA,all,NU,0.30245515805927287,-0.003705801201271501,0.3061609592605444
13,University of Wisconsin - Madison,72,7.5,USA,all,UWM,-0.1801860516097793,-0.22605387327755663,0.045867821667777336
14,Purdue University,74,7.4,USA,all,PU-2,-0.11583389032057234,-0.25384738228709214,0.1380134919665198
14,University of Texas at Austin,50,7.4,USA,all,UTA,-0.8880598257910558,-0.25384738228709214,-0.6342124435039637
16,University of Pennsylvania,74,7.2,USA,all,UP,-0.11583389032057234,-0.3094344003061634,0.19360050998559108
17,Columbia University,59,7.1,USA,all,CU,-0.5984750999896246,-0.3372279093156992,-0.2612471906739254
18,Princeton University,59,6.7,USA,all,PU,-0.5984750999896246,-0.44840194535384154,-0.15007315463578302
19,New York University,72,6.5,USA,all,NYU,-0.1801860516097793,-0.5039889633729128,0.32380291176313347
20,University of Massachusetts Amherst,62,6.0,USA,all,UMA,-0.5019468580558141,-0.6429565084205909,0.14100965036477686
21,University of Southern California,61,5.8,USA,all,USC,-0.5341229387004176,-0.6985435264396622,0.16442058773924462
22,University of Chicago,48,5.7,USA,all,UC,-0.9524119870802628,-0.7263370354491977,-0.22607495163106506
23,Stony Brook University,62,5.6,USA,all,SBU,-0.5019468580558141,-0.7541305444587335,0.25218368640291944
23,Univ. of California - Los Angeles,43,5.6,USA,all,UCLA,-1.11329239030328,-0.7541305444587335,-0.3591618458445466
25,Univ. of California - Irvine,75,5.2,USA,all,UCI,-0.08365780967596886,-0.8653045804968758,0.7816467708209069
26,Duke University,49,4.9,USA,all,DU,-0.9202359064356593,-0.9486851075254826,0.028449201089823295
26,Rutgers University,50,4.9,USA,all,RU,-0.8880598257910558,-0.9486851075254826,0.06062528173442683
26,Univ. of California - Santa Barbara,36,4.9,USA,all,UCSB,-1.3385249548155045,-0.9486851075254826,-0.38983984729002186
29,Univ. of California - Riverside,50,4.8,USA,all,UCR,-0.8880598257910558,-0.9764786165350183,0.08841879074396253
30,Pennsylvania State University,67,4.7,USA,all,PSU,-0.3410664548327967,-1.004272125544554,0.6632056707117573
