Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Carnegie Mellon University,174,20.6,WORLD,all,CMU,2.4849250249449746,3.635872024066668,-1.1509469991216936
2,Univ. of Illinois at Urbana-Champaign,113,14.7,WORLD,all,UIU,0.6549802379633635,1.7205465828172617,-1.0655663448538983
3,Univ. of California - San Diego,130,13.1,WORLD,all,UCSD,1.1649648507287305,1.2011362936648806,-0.036171442936150155
4,Tsinghua University,135,12.5,WORLD,all,TU,1.3149603250714854,1.0063574352327378,0.3086028898387476
5,Georgia Institute of Technology,145,11.6,WORLD,all,GIT,1.6149512737569955,0.7141891475845233,0.9007621261724722
6,Massachusetts Institute of Technology,96,11.5,WORLD,all,MIT,0.1449956251979964,0.6817260045124997,-0.5367303793145033
7,Univ. of California - Berkeley,95,10.9,WORLD,all,UCB,0.11499653032944537,0.4869471460803568,-0.3719506157509114
8,University of Michigan,102,10.8,WORLD,all,UM,0.3249901944093024,0.4544840030083331,-0.1294938085990307
9,ETH Zurich,47,10.7,WORLD,all,EZ,-1.3249600233610028,0.4220208599363088,-1.7469808832973115
10,University of Washington,82,10.6,WORLD,all,UW-2,-0.27499170296171765,0.3895577168642851,-0.6645494198260027
11,Stanford University,68,10.4,WORLD,all,SU,-0.6949790311214317,0.32463143072023765,-1.0196104618416693
12,Cornell University,84,9.9,WORLD,all,CU-2,-0.21499351322461566,0.16231571536011855,-0.3773092285847342
13,University of Maryland - College Park,89,9.1,WORLD,all,UMCP,-0.06499803888186065,-0.09738942921607228,0.03239139033421164
14,Peking University,135,8.9,WORLD,all,PU-3,1.3149603250714854,-0.1623157153601197,1.4772760404316052
15,University of Toronto,101,8.7,WORLD,all,UT,0.29499109954075137,-0.22724200150416768,0.522233101044919
16,National University of Singapore,78,8.3,WORLD,all,NUS,-0.3949880824359217,-0.3570945737922625,-0.0378935086436592
16,Northeastern University,87,8.3,WORLD,all,NU,-0.12499622861896266,-0.3570945737922625,0.23209834517329986
18,Shanghai Jiao Tong University,156,8.2,WORLD,all,SJTU,1.9449413173110566,-0.3895577168642868,2.3344990341753435
19,KAIST,96,7.5,WORLD,all,K,0.1449956251979964,-0.6167997183684534,0.7617953435664497
19,University of Wisconsin - Madison,72,7.5,WORLD,all,UWM,-0.5749826516472277,-0.6167997183684534,0.04181706672122565
21,Purdue University,74,7.4,WORLD,all,PU-2,-0.5149844619101257,-0.6492628614404771,0.13427839953035137
21,University of Texas at Austin,50,7.4,WORLD,all,UTA,-1.2349627387553497,-0.6492628614404771,-0.5856998773148726
23,University of Pennsylvania,74,7.2,WORLD,all,UP,-0.5149844619101257,-0.7141891475845248,0.19920468567439908
24,Columbia University,59,7.1,WORLD,all,CU,-0.9649708849383908,-0.7466522906565488,-0.21831859428184197
25,University of Waterloo,97,7.0,WORLD,all,UW,0.17499472006654737,-0.7791154337285725,0.9541101537951199
26,Princeton University,59,6.7,WORLD,all,PU,-0.9649708849383908,-0.8765048629446439,-0.08846602199374687
27,Max Planck Society,41,6.6,WORLD,all,MPS,-1.504954592572309,-0.9089680060166678,-0.5959865865556411
28,New York University,72,6.5,WORLD,all,NYU,-0.5749826516472277,-0.9414311490886916,0.3664484974414639
29,EPFL,62,6.3,WORLD,all,E,-0.8749736003327377,-1.0063574352327394,0.1313838349000016
30,University of Massachusetts Amherst,62,6.0,WORLD,all,UMA,-0.8749736003327377,-1.1037468644488106,0.2287732641160729
