Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,KAIST,10,18.3,ASI,arch,K-2,0.9115769707152607,3.1490964893456606,-2.2375195186303998
2,Shanghai Jiao Tong University,22,16.1,ASI,arch,SJTU,3.325684258678434,2.6434021625894233,0.6822820960890108
3,Seoul National University,9,14.4,ASI,arch,SNU,0.7104013633849963,2.252638364641421,-1.5422370012564248
4,Tsinghua University,17,9.4,ASI,arch,TU,2.3198062220271116,1.1033330765590637,1.216473145468048
5,National University of Singapore,10,7.8,ASI,arch,NUS,0.9115769707152607,0.7355553843727091,0.1760215863425516
6,HUST,11,7.5,ASI,arch,H,1.1127525780455252,0.6665970670877676,0.44615551095775763
7,IISc Bangalore,5,7.0,ASI,arch,IB-2,-0.09430106593606145,0.5516665382795318,-0.6459676042155933
8,Peking University,12,6.5,ASI,arch,PU,1.3139281853757896,0.43673600947129604,0.8771921759044936
9,POSTECH,5,5.0,ASI,arch,P,-0.09430106593606145,0.0919444230465887,-0.18624548898265014
10,Yonsei University,5,4.6,ASI,arch,YU,-0.09430106593606145,0.0,-0.09430106593606145
11,Chinese Academy of Sciences,9,3.2,ASI,arch,CAS,0.7104013633849963,-0.32180548066306003,1.0322068440480563
12,Zhejiang University,9,2.9,ASI,arch,ZU,0.7104013633849963,-0.3907637979480016,1.1011651613329978
13,KMUTNB,1,2.7,ASI,arch,K,-0.8990034952571192,-0.4367360094712958,-0.4622674857858234
13,Renmin University of China,5,2.7,ASI,arch,RUC,-0.09430106593606145,-0.4367360094712958,0.34243494353523435
15,IIT Delhi,2,2.6,ASI,arch,ID,-0.6978278879268548,-0.459722115232943,-0.2381057726939118
16,IIT Kanpur,2,2.5,ASI,arch,IK,-0.6978278879268548,-0.4827082209945902,-0.21511966693226459
16,Nanyang Technological University,3,2.5,ASI,arch,NTU-2,-0.49665228059659033,-0.4827082209945902,-0.013944059602000125
16,Sharif University of Technology,2,2.5,ASI,arch,SUT,-0.6978278879268548,-0.4827082209945902,-0.21511966693226459
16,Sungkyunkwan University,4,2.5,ASI,arch,SU,-0.2954766732663259,-0.4827082209945902,0.18723154772826434
20,Chinese University of Hong Kong,3,2.4,ASI,arch,CUHK-2,-0.49665228059659033,-0.5056943267562374,0.009042046159647044
21,City University of Hong Kong,2,2.3,ASI,arch,CUHK,-0.6978278879268548,-0.5286804325178845,-0.16914745540897025
21,Hunan University,6,2.3,ASI,arch,HU,0.10687454139420298,-0.5286804325178845,0.6355549739120875
23,IIT Bombay,1,2.2,ASI,arch,IB,-0.8990034952571192,-0.5516665382795316,-0.3473369569775876
24,National Taiwan University,3,2.1,ASI,arch,NTU,-0.49665228059659033,-0.5746526440411788,0.07800036344458844
25,Beihang University,1,2.0,ASI,arch,BU,-0.8990034952571192,-0.5976387498028259,-0.30136474545429326
25,Korea University,1,2.0,ASI,arch,KU,-0.8990034952571192,-0.5976387498028259,-0.30136474545429326
25,UNIST,3,2.0,ASI,arch,U,-0.49665228059659033,-0.5976387498028259,0.10098646920623561
28,IPM,2,1.9,ASI,arch,I,-0.6978278879268548,-0.6206248555644731,-0.07720303236238168
28,University of Macau,4,1.9,ASI,arch,UM,-0.2954766732663259,-0.6206248555644731,0.32514818229814724
30,American University of Beirut,1,1.8,ASI,arch,AUB,-0.8990034952571192,-0.6436109613261203,-0.2553925339309989
30,Kyungpook National University,2,1.8,ASI,arch,KNU,-0.6978278879268548,-0.6436109613261203,-0.054216926600734516
30,SUSTech,3,1.8,ASI,arch,S,-0.49665228059659033,-0.6436109613261203,0.14695868072952994
