Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Univ. of Illinois at Urbana-Champaign,23,44.5,WORLD,arch,UIU,2.3094249839086163,3.2792636211374306,-0.9698386372288144
2,University of Michigan,23,42.5,WORLD,arch,UM,2.3094249839086163,3.036624803443207,-0.7271998195345906
3,Georgia Institute of Technology,15,26.5,WORLD,arch,GIT,0.6744338448582685,1.095514261889419,-0.4210804170311504
4,Massachusetts Institute of Technology,13,26.3,WORLD,arch,MIT,0.26568606009568163,1.0712503801199966,-0.805564320024315
5,Pennsylvania State University,16,21.7,WORLD,arch,PSU,0.878807737239562,0.5131810994232824,0.3656266378162796
6,University of Wisconsin - Madison,13,19.6,WORLD,arch,UWM,0.26568606009568163,0.25841034084434794,0.00727571925133369
7,Purdue University,12,19.5,WORLD,arch,PU-2,0.06131216771438818,0.24627839995963657,-0.18496623224524839
8,KAIST,10,18.3,WORLD,arch,K,-0.3474356170481987,0.10069510934310255,-0.44813072639130125
9,University of Toronto,12,18.0,WORLD,arch,UT,0.06131216771438818,0.06429928668896893,-0.0029871189745807533
10,Carnegie Mellon University,17,17.7,WORLD,arch,CMU,1.0831816296208554,0.027903464034835325,1.0552781655860202
11,Princeton University,8,17.6,WORLD,arch,PU,-0.7561834018107856,0.01577152315012441,-0.77195492496091
12,North Carolina State University,10,16.3,WORLD,arch,NCSU,-0.3474356170481987,-0.14194370835112097,-0.20549190869707773
13,Shanghai Jiao Tong University,22,16.1,WORLD,arch,SJTU,2.1050510915273226,-0.16620759012054323,2.2712586816478657
14,Univ. of California - San Diego,15,16.0,WORLD,arch,UCSD,0.6744338448582685,-0.17833953100525457,0.8527733758635231
15,University of Chicago,9,15.7,WORLD,arch,UC,-0.5518095094294921,-0.2147353536593882,-0.3370741557701039
16,Univ. of California - Riverside,9,15.6,WORLD,arch,UCR,-0.5518095094294921,-0.22686729454409932,-0.3249422148853928
17,ETH Zurich,8,14.9,WORLD,arch,EZ,-0.7561834018107856,-0.31179088073707745,-0.44439252107370814
18,Stanford University,15,14.8,WORLD,arch,SU,0.6744338448582685,-0.3239228216217886,0.9983566664800572
19,Seoul National University,9,14.4,WORLD,arch,SNU,-0.5518095094294921,-0.37245058516063334,-0.1793589242688588
20,Cornell University,11,13.7,WORLD,arch,CU,-0.14306172466690525,-0.4573741713536117,0.31431244668670644
21,Univ. of California - Santa Barbara,6,13.3,WORLD,arch,UCSB,-1.1649311865733725,-0.5059019348924563,-0.6590292516809162
22,University of Virginia,7,12.8,WORLD,arch,UV,-0.960557294192079,-0.5665616393160121,-0.3939956548760669
23,Yale University,9,12.6,WORLD,arch,YU,-0.5518095094294921,-0.5908255210854346,0.039016011655942484
24,Technion,11,12.0,WORLD,arch,T,-0.14306172466690525,-0.6636171663937016,0.5205554417267964
25,EPFL,13,11.9,WORLD,arch,E,0.26568606009568163,-0.6757491072784128,0.9414351673740944
26,University of British Columbia,6,10.5,WORLD,arch,UBC,-1.1649311865733725,-0.8455962796643692,-0.31933490690900324
26,Uppsala University,4,10.5,WORLD,arch,UU,-1.5736789713359594,-0.8455962796643692,-0.7280826916715901
28,University of Rochester,8,10.3,WORLD,arch,UR,-0.7561834018107856,-0.8698601614337915,0.11367675962300594
28,University of Washington,10,10.3,WORLD,arch,UW,-0.3474356170481987,-0.8698601614337915,0.5224245443855928
30,University of Pennsylvania,7,10.2,WORLD,arch,UP,-0.960557294192079,-0.8819921023185029,-0.07856519187357613
