Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,UNSW,5,23.7,AUS,database,U,0.7278447717559013,2.3234477287045348,-1.5956029569486334
2,University of Technology Sydney,6,16.4,AUS,database,UTS,1.1726387989400633,1.3039239439232553,-0.131285144983192
3,University of Sydney,8,10.8,AUS,database,US,2.0622268533083874,0.5218235062828219,1.5404033470255656
4,RMIT University,3,6.8,AUS,database,RU,-0.16174328261242257,-0.036819663460344966,-0.12492361915207761
5,University of Auckland,3,4.7,AUS,database,UA,-0.16174328261242257,-0.3301073275755075,0.1683640449630849
6,Massey University,2,4.1,AUS,database,MU-3,-0.6065373097965845,-0.4139038030369826,-0.1926335067596019
7,University of Queensland,3,3.5,AUS,database,UQ,-0.16174328261242257,-0.49770027849845755,0.335956995886035
8,University of Melbourne,4,3.1,AUS,database,UM,0.28305074457173934,-0.5535645954727743,0.8366153400445135
9,Monash University,1,1.8,AUS,database,MU-2,-1.0513313369807464,-0.7351236256393034,-0.316207711341443
10,Australian National University,1,1.6,AUS,database,ANU,-1.0513313369807464,-0.7630557841264618,-0.28827555285428463
11,Macquarie University,1,1.2,AUS,database,MU,-1.0513313369807464,-0.8189201011007784,-0.23241123587996804
