Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Univ. of California - Berkeley,19,26.8,USA,database,UCB,1.849763348292972,2.469094713544861,-0.619331365251889
2,University of Chicago,13,25.2,USA,database,UC,0.5563198039978863,2.163309200956034,-1.6069893969581477
3,Carnegie Mellon University,22,23.4,USA,database,CMU,2.496485120440515,1.819300499293604,0.6771846211469112
4,Duke University,12,23.0,USA,database,DU,0.3407458799487053,1.7428541211463975,-1.4021082411976922
5,Massachusetts Institute of Technology,16,20.1,USA,database,MIT,1.2030415761454292,1.1886178795791493,0.014423696566279842
6,Univ. of California - San Diego,15,18.2,USA,database,UCSD,0.9874676520962482,0.8254975833799173,0.1619700687163309
7,Cornell University,9,17.8,USA,database,CU-2,-0.30597589219883764,0.749051205232711,-1.0550270974315485
8,University of Michigan,13,17.4,USA,database,UM,0.5563198039978863,0.6726048270855038,-0.11628502308761757
9,Georgia Institute of Technology,19,15.2,USA,database,GIT,1.849763348292972,0.2521497472758673,1.5976136010171047
10,University of Washington,6,15.0,USA,database,UW,-0.9526976643463805,0.2139265582022641,-1.1666242225486445
11,Univ. of California - Santa Barbara,9,14.9,USA,database,UCSB,-0.30597589219883764,0.19481496366546253,-0.5007908558643002
12,University of Wisconsin - Madison,13,14.6,USA,database,UWM,0.5563198039978863,0.13748018005505738,0.4188396239428289
13,Univ. of California - Irvine,7,14.4,USA,database,UCI,-0.7371237402971995,0.09925699098145419,-0.8363807312786538
14,Northeastern University,8,12.9,USA,database,NU,-0.5215498162480185,-0.1874169270705708,-0.33413288917744777
15,University of Maryland - College Park,7,11.7,USA,database,UMCP,-0.7371237402971995,-0.416756061512191,-0.3203676787850085
15,University of Texas at Arlington,6,11.7,USA,database,UTA,-0.9526976643463805,-0.416756061512191,-0.5359416028341895
17,University of Pennsylvania,9,11.3,USA,database,UP,-0.30597589219883764,-0.4932024396593974,0.18722654746055978
18,Univ. of Illinois at Urbana-Champaign,16,11.0,USA,database,UIU,1.2030415761454292,-0.5505372232698026,1.7535787994152319
19,Ohio State University,9,10.9,USA,database,OSU,-0.30597589219883764,-0.5696488178066041,0.2636729256077665
20,Pennsylvania State University,11,10.8,USA,database,PSU,0.12517195589952432,-0.5887604123434057,0.71393236824293
21,Harvard University,4,10.4,USA,database,HU,-1.3838455124447424,-0.6652067904906125,-0.7186387219541299
22,Univ. of California - Riverside,11,10.2,USA,database,UCR,0.12517195589952432,-0.703429979564216,0.8286019354637404
23,Stanford University,11,10.0,USA,database,SU,0.12517195589952432,-0.7416531686378193,0.8668251245373436
24,Columbia University,5,9.9,USA,database,CU,-1.1682715883955614,-0.7607647631746208,-0.4075068252209406
25,Purdue University,7,9.6,USA,database,PU,-0.7371237402971995,-0.8180995467850259,0.08097580648782643
26,University at Buffalo,13,9.1,USA,database,UB,0.5563198039978863,-0.9136575194690343,1.4699773234669204
27,Boston University,9,9.0,USA,database,BU,-0.30597589219883764,-0.9327691140058358,0.6267932218069983
27,Rutgers University,5,9.0,USA,database,RU,-1.1682715883955614,-0.9327691140058358,-0.2355024743897256
27,Worcester Polytechnic Institute,5,9.0,USA,database,WPI,-1.1682715883955614,-0.9327691140058358,-0.2355024743897256
30,University of Illinois at Chicago,5,8.9,USA,database,UIC,-1.1682715883955614,-0.9518807085426375,-0.21639087985292393
30,University of Southern California,9,8.9,USA,database,USC,-0.30597589219883764,-0.9518807085426375,0.6459048163437999
