Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Shanghai Jiao Tong University,19,10.1,ASI,hpc,SJTU,3.398071391491325,2.71468858722639,0.683382804264935
2,Tsinghua University,8,9.3,ASI,hpc,TU,0.7791756056922783,2.3827396353839787,-1.6035640296917004
3,HUST,12,8.7,ASI,hpc,H-2,1.7315013459828408,2.1337779215021695,-0.4022765755193287
4,National Cheng Kung University,13,8.5,ASI,hpc,NCKU,1.9695827810554816,2.0507906835415666,-0.081207902486085
5,National University of Singapore,5,6.3,ASI,hpc,NUS,0.06493130047435647,1.1379310659749342,-1.0729997655005779
6,National Chiao Tung University,12,5.6,ASI,hpc,NCTU,1.7315013459828408,0.8474757331128239,0.8840256128700169
7,Tokyo Institute of Technology,3,4.2,ASI,hpc,TIT,-0.4112315696709247,0.2665650673886036,-0.6777966370595283
7,University of Macau,3,4.2,ASI,hpc,UM,-0.4112315696709247,0.2665650673886036,-0.6777966370595283
9,Peking University,8,4.1,ASI,hpc,PU,0.7791756056922783,0.2250714484083019,0.5541041572839764
10,IISc Bangalore,2,3.8,ASI,hpc,IB,-0.6493130047435653,0.10059059146739759,-0.7499035962109629
11,National Taiwan University,8,3.6,ASI,hpc,NTU-2,0.7791756056922783,0.017603353506794768,0.7615722521854835
11,University of Tokyo,2,3.6,ASI,hpc,UT,-0.6493130047435653,0.017603353506794768,-0.6669163582503601
13,Seoul National University,7,3.4,ASI,hpc,SNU,0.5410941706196377,-0.06538388445380824,0.606478055073446
14,KAIST,4,3.3,ASI,hpc,K-2,-0.17315013459828413,-0.10687750343410975,-0.06627263116417438
15,Chinese Academy of Sciences,7,2.8,ASI,hpc,CAS,0.5410941706196377,-0.3143455983356171,0.8554397689552549
16,IIT Madras,2,2.6,ASI,hpc,IM,-0.6493130047435653,-0.3973328362962199,-0.25198016844734544
17,Hong Kong Baptist University,2,2.5,ASI,hpc,HKBU,-0.6493130047435653,-0.4388264552765214,-0.21048654946704393
18,Beihang University,1,2.4,ASI,hpc,BU,-0.8873944398162059,-0.4803200742568229,-0.40707436555938303
18,KAUST,3,2.4,ASI,hpc,K,-0.4112315696709247,-0.4803200742568229,0.06908850458589816
20,Nanyang Technological University,5,2.2,ASI,hpc,NTU,0.06493130047435647,-0.5633073122174257,0.6282386126917822
20,Qatar Computing Research Institute,1,2.2,ASI,hpc,QCRI,-0.8873944398162059,-0.5633073122174257,-0.3240871275987802
22,National Institute of Informatics,1,2.1,ASI,hpc,NII,-0.8873944398162059,-0.6048009311977273,-0.28259350861847865
23,HKUST,3,2.0,ASI,hpc,H,-0.4112315696709247,-0.6462945501780287,0.235062980507104
24,Renmin University of China,4,1.9,ASI,hpc,RUC,-0.17315013459828413,-0.6877881691583302,0.5146380345600461
25,IIT Kanpur,2,1.8,ASI,hpc,IK,-0.6493130047435653,-0.7292817881386316,0.0799687833950663
25,Xi'an Jiaotong University,3,1.8,ASI,hpc,XJU,-0.4112315696709247,-0.7292817881386316,0.3180502184677069
25,Xiamen University,4,1.8,ASI,hpc,XU,-0.17315013459828413,-0.7292817881386316,0.5561316535403475
28,American University of Beirut,2,1.7,ASI,hpc,AUB,-0.6493130047435653,-0.7707754071189331,0.12146240237536776
28,POSTECH,3,1.7,ASI,hpc,P,-0.4112315696709247,-0.7707754071189331,0.3595438374480084
28,UESTC,2,1.7,ASI,hpc,U-2,-0.6493130047435653,-0.7707754071189331,0.12146240237536776
28,USTC,3,1.7,ASI,hpc,U,-0.4112315696709247,-0.7707754071189331,0.3595438374480084
28,University of Hong Kong,1,1.7,ASI,hpc,UHK,-0.8873944398162059,-0.7707754071189331,-0.1166190326972728
28,Wuhan University,1,1.7,ASI,hpc,WU,-0.8873944398162059,-0.7707754071189331,-0.1166190326972728
