Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Univ. of Illinois at Urbana-Champaign,18,16.5,USA,hpc,UIU,2.931854929968286,2.5418513957272832,0.39000353424100265
2,North Carolina State University,10,15.5,USA,hpc,NCSU,0.9040590129873388,2.262833679401566,-1.3587746664142273
3,University of Utah,13,14.9,USA,hpc,UU,1.664482481855194,2.095423049606136,-0.4309405677509419
4,Georgia Institute of Technology,15,13.4,USA,hpc,GIT,2.171431461100431,1.6768964751175601,0.4945349859828707
5,Ohio State University,12,10.8,USA,hpc,OSU,1.4110079922325756,0.9514504126706959,0.4595575795618797
6,Univ. of California - Riverside,10,10.6,USA,hpc,UCR,0.9040590129873388,0.8956468694055522,0.008412143581786657
7,Univ. of California - Merced,4,8.9,USA,hpc,UCM,-0.6167879247483715,0.4213167516518334,-1.0381046764002049
8,Rice University,2,8.4,USA,hpc,RU,-1.1237369039936083,0.2818078934889749,-1.4055447974825832
9,University of Chicago,7,8.3,USA,hpc,UC,0.1436355441194837,0.25390612185640327,-0.11027057773691956
10,Northeastern University,4,8.0,USA,hpc,NU-2,-0.6167879247483715,0.17020080695868797,-0.7869887317070595
11,Purdue University,7,7.7,USA,hpc,PU,0.1436355441194837,0.08649549206097291,0.05714005205851079
12,University of Texas at Arlington,7,6.9,USA,hpc,UTA,0.1436355441194837,-0.13671868099960066,0.28035422511908437
13,Indiana University,6,6.6,USA,hpc,IU,-0.1098389455031347,-0.22042399589731598,0.11058505039418129
14,Virginia Tech,5,6.5,USA,hpc,VT,-0.3633134351257531,-0.24832576752988758,-0.11498766759586551
15,Illinois Institute of Technology,4,6.0,USA,hpc,IIT,-0.6167879247483715,-0.3878346256927461,-0.2289532990556254
16,University of Minnesota,7,5.9,USA,hpc,UM,0.1436355441194837,-0.4157363973253177,0.5593719414448014
17,University of Georgia,4,5.8,USA,hpc,UG,-0.6167879247483715,-0.44363816895788954,-0.17314975579048197
18,Univ. of California - Berkeley,5,5.3,USA,hpc,UCB,-0.3633134351257531,-0.5831470271207481,0.21983359199499497
19,University of Maryland - College Park,2,5.2,USA,hpc,UMCP,-1.1237369039936083,-0.6110487987533197,-0.5126881052402885
20,Northwestern University,6,4.9,USA,hpc,NU,-0.1098389455031347,-0.6947541136510348,0.5849151681479001
20,University of Massachusetts Amherst,5,4.9,USA,hpc,UMA,-0.3633134351257531,-0.6947541136510348,0.3314406785252817
20,University of Tennessee,2,4.9,USA,hpc,UT,-1.1237369039936083,-0.6947541136510348,-0.4289827903425735
23,Stanford University,6,4.8,USA,hpc,SU,-0.1098389455031347,-0.7226558852836066,0.6128169397804719
23,University of Iowa,3,4.8,USA,hpc,UI,-0.8702624143709898,-0.7226558852836066,-0.14760652908738325
25,Univ. of California - Irvine,7,4.7,USA,hpc,UCI,0.1436355441194837,-0.7505576569161783,0.8941932010356619
25,University of Houston,2,4.7,USA,hpc,UH,-1.1237369039936083,-0.7505576569161783,-0.37317924707743
27,Florida State University,3,4.2,USA,hpc,FSU,-0.8702624143709898,-0.8900665150790368,0.019804100708046946
27,University of Delaware,5,4.2,USA,hpc,UD,-0.3633134351257531,-0.8900665150790368,0.5267530799532837
27,University of Virginia,8,4.2,USA,hpc,UV,0.3971100337421021,-0.8900665150790368,1.2871765488211389
27,Washington State University,4,4.2,USA,hpc,WSU,-0.6167879247483715,-0.8900665150790368,0.27327859033066526
