Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,ETH Zurich,5,20.4,WORLD,hpc,EZ,-0.5958635797011752,3.0521915001477953,-3.6480550798489704
2,Univ. of Illinois at Urbana-Champaign,18,16.5,WORLD,hpc,UIU,2.262862880055653,2.040651060542893,0.22221181951276003
3,North Carolina State University,10,15.5,WORLD,hpc,NCSU,0.5036465971283742,1.7812817170544564,-1.277635119926082
4,University of Utah,13,14.9,WORLD,hpc,UU,1.1633527032261037,1.6256601109613946,-0.4623074077352909
5,Georgia Institute of Technology,15,13.4,WORLD,hpc,GIT,1.6031567739579236,1.23660609572874,0.36655067822918364
6,Ohio State University,12,10.8,WORLD,hpc,OSU,0.9434506678601939,0.5622458026588049,0.3812048652013891
7,Univ. of California - Riverside,10,10.6,WORLD,hpc,UCR,0.5036465971283742,0.5103719339611174,-0.006725336832743123
8,Shanghai Jiao Tong University,19,10.1,WORLD,hpc,SJTU,2.482764915421563,0.380687262216899,2.102077653204664
9,Tsinghua University,8,9.3,WORLD,hpc,TU,0.06384252639655442,0.17319178742615007,-0.10934926102959565
10,Univ. of California - Merced,4,8.9,WORLD,hpc,UCM,-0.8157656150670851,0.06944405003077536,-0.8852096650978605
11,HUST,12,8.7,WORLD,hpc,H,0.9434506678601939,0.017570181333087784,0.9258804865271062
12,National Cheng Kung University,13,8.5,WORLD,hpc,NCKU,1.1633527032261037,-0.03430368736459934,1.1976563905907032
13,Rice University,2,8.4,WORLD,hpc,RU,-1.255569685798905,-0.0602406217134429,-1.1953290640854621
14,University of Chicago,7,8.3,WORLD,hpc,UC,-0.15605950896935547,-0.08617755606228647,-0.069881952907069
15,Northeastern University,4,8.0,WORLD,hpc,NU-2,-0.8157656150670851,-0.16398835910881762,-0.6517772559582675
16,Purdue University,7,7.7,WORLD,hpc,PU,-0.15605950896935547,-0.24179916215534852,0.08573965318599305
17,University of Texas at Arlington,7,6.9,WORLD,hpc,UTA,-0.15605950896935547,-0.4492946369460977,0.2932351279767422
18,TU Munich,5,6.8,WORLD,hpc,TM,-0.5958635797011752,-0.47523157129494153,-0.12063200840623367
19,Indiana University,6,6.6,WORLD,hpc,IU,-0.37596154433526535,-0.5271054399926288,0.15114389565736347
20,Virginia Tech,5,6.5,WORLD,hpc,VT,-0.5958635797011752,-0.5530423743414724,-0.042821205359702796
21,National University of Singapore,5,6.3,WORLD,hpc,NUS,-0.5958635797011752,-0.6049162430391598,0.009052663337984601
22,Illinois Institute of Technology,4,6.0,WORLD,hpc,IIT,-0.8157656150670851,-0.6827270460856907,-0.13303856898139443
22,Polytechnic University of Catalonia,5,6.0,WORLD,hpc,PUC,-0.5958635797011752,-0.6827270460856907,0.08686346638451548
24,University of Minnesota,7,5.9,WORLD,hpc,UM,-0.15605950896935547,-0.7086639804345343,0.5526044714651788
25,University of Georgia,4,5.8,WORLD,hpc,UG,-0.8157656150670851,-0.7346009147833781,-0.08116470028370704
26,National Chiao Tung University,12,5.6,WORLD,hpc,NCTU,0.9434506678601939,-0.7864747834810654,1.7299254513412592
27,Univ. of California - Berkeley,5,5.3,WORLD,hpc,UCB,-0.5958635797011752,-0.8642855865275964,0.26842200682642114
28,University of Maryland - College Park,2,5.2,WORLD,hpc,UMCP,-1.255569685798905,-0.8902225208764399,-0.365347164922465
29,Northwestern University,6,4.9,WORLD,hpc,NU,-0.37596154433526535,-0.9680333239229708,0.5920717795877055
29,University of Massachusetts Amherst,5,4.9,WORLD,hpc,UMA,-0.5958635797011752,-0.9680333239229708,0.3721697442217956
29,University of Tennessee,2,4.9,WORLD,hpc,UT,-1.255569685798905,-0.9680333239229708,-0.2875363618759341
