Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Tsinghua University,17,5.7,ASI,metr,TU,4.617732151851634,3.6989680887416005,0.9187640631100331
2,KAIST,6,4.4,ASI,metr,K,1.004694861490732,2.3740540731631667,-1.3693592116724347
3,National University of Singapore,5,3.9,ASI,metr,NUS,0.6762369260033773,1.8644717594791533,-1.188234833475776
4,Peking University,9,3.1,ASI,metr,PU,1.9900686679527961,1.0491400575847327,0.9409286103680634
5,LUMS,4,2.9,ASI,metr,L,0.34777899051602257,0.8453071321111273,-0.4975281415951047
6,Shanghai Jiao Tong University,4,2.7,ASI,metr,SJTU,0.34777899051602257,0.6414742066375223,-0.29369521612149974
6,University of Hong Kong,3,2.7,ASI,metr,UHK,0.019321055028667856,0.6414742066375223,-0.6221531516088544
8,Seoul National University,5,2.4,ASI,metr,SNU,0.6762369260033773,0.3357248184271142,0.34051210757626305
9,National Institute of Informatics,1,2.3,ASI,metr,NII,-0.6375948159460416,0.2338083556903115,-0.8714031716363531
9,Sharif University of Technology,2,2.3,ASI,metr,SUT,-0.30913688045868687,0.2338083556903115,-0.5429452361489984
11,The Hong Kong Polytechnic University,2,2.1,ASI,metr,THKPU,-0.30913688045868687,0.029975430216706542,-0.33911231067539344
12,Chinese University of Hong Kong,2,2.0,ASI,metr,CUHK-2,-0.30913688045868687,-0.07194103252009616,-0.23719584793859072
12,HUST,1,2.0,ASI,metr,H-2,-0.6375948159460416,-0.07194103252009616,-0.5656537834259454
14,Zhejiang University,3,1.9,ASI,metr,ZU,0.019321055028667856,-0.17385749525689886,0.1931785502855667
15,BITS Pilani-Goa,1,1.8,ASI,metr,BP,-0.6375948159460416,-0.27577395799370136,-0.36182085795234026
15,City University of Hong Kong,3,1.8,ASI,metr,CUHK,0.019321055028667856,-0.27577395799370136,0.29509501302236923
17,Nanyang Technological University,1,1.7,ASI,metr,NTU-2,-0.6375948159460416,-0.377690420730504,-0.2599043952155376
18,IIIT Delhi,3,1.6,ASI,metr,ID-2,0.019321055028667856,-0.4796068834673065,0.4989279384959744
18,Nanjing University,3,1.6,ASI,metr,NU,0.019321055028667856,-0.4796068834673065,0.4989279384959744
18,SUTD,1,1.6,ASI,metr,S,-0.6375948159460416,-0.4796068834673065,-0.1579879324787351
18,Tata Inst. of Fundamental Research,1,1.6,ASI,metr,TIFR,-0.6375948159460416,-0.4796068834673065,-0.1579879324787351
18,USTC,2,1.6,ASI,metr,U,-0.30913688045868687,-0.4796068834673065,0.17047000300861964
23,Fudan University,4,1.5,ASI,metr,FU,0.34777899051602257,-0.5815233462041092,0.9293023367201317
23,IISc Bangalore,2,1.5,ASI,metr,IB-2,-0.30913688045868687,-0.5815233462041092,0.2723864657454223
23,Kyungpook National University,2,1.5,ASI,metr,KNU,-0.30913688045868687,-0.5815233462041092,0.2723864657454223
23,NYU Shanghai,1,1.5,ASI,metr,NS,-0.6375948159460416,-0.5815233462041092,-0.056071469741932445
23,POSTECH,1,1.5,ASI,metr,P,-0.6375948159460416,-0.5815233462041092,-0.056071469741932445
28,IIT Bombay,2,1.4,ASI,metr,IB,-0.30913688045868687,-0.6834398089409119,0.3743029284822251
29,HKUST,2,1.3,ASI,metr,H,-0.30913688045868687,-0.7853562716777144,0.4762193912190275
29,Hunan University,1,1.3,ASI,metr,HU,-0.6375948159460416,-0.7853562716777144,0.14776145573167276
29,IIT Delhi,2,1.3,ASI,metr,ID,-0.30913688045868687,-0.7853562716777144,0.4762193912190275
29,National Taiwan University,1,1.3,ASI,metr,NTU,-0.6375948159460416,-0.7853562716777144,0.14776145573167276
29,Soochow University,1,1.3,ASI,metr,SU-2,-0.6375948159460416,-0.7853562716777144,0.14776145573167276
29,Sungkyunkwan University,2,1.3,ASI,metr,SU,-0.30913688045868687,-0.7853562716777144,0.4762193912190275
