Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,TU Delft,7,8.5,EURO,metr,TD-3,2.0948475180022625,3.563248563383832,-1.4684010453815692
2,Max Planck Society,4,6.2,EURO,metr,MPS,0.5464819612179814,2.1202343859803325,-1.573752424762351
3,IMDEA Networks Institute,5,5.7,EURO,metr,INI,1.0626038134794085,1.806535651762181,-0.7439318382827724
4,ETH Zurich,6,4.9,EURO,metr,EZ,1.5787256657408355,1.304617677013138,0.2741079887276976
5,EPFL,7,4.8,EURO,metr,E,2.0948475180022625,1.241877930169507,0.8529695878327554
6,Queen Mary University of London,5,3.9,EURO,metr,QMUL,1.0626038134794085,0.6772202085768337,0.38538360490257473
7,TU Berlin,2,3.6,EURO,metr,TB,-0.4857617433048726,0.4890009680459426,-0.9747627113508153
8,CISPA Helmholtz Center,4,3.2,EURO,metr,CHC,0.5464819612179814,0.23804198067142116,0.3084399805465603
8,TU Munich,4,3.2,EURO,metr,TM,0.5464819612179814,0.23804198067142116,0.3084399805465603
10,Imperial College London,3,3.1,EURO,metr,ICL,0.030360108956554423,0.17530223382779073,-0.1449421248712363
11,Technion,6,2.9,EURO,metr,T,1.5787256657408355,0.049822740140529835,1.5289029256003057
12,Brandenburg University of Technology,1,2.8,EURO,metr,BUT,-1.0018835955662997,-0.012917006703100605,-0.9889665888631991
13,Lancaster University,2,2.7,EURO,metr,LU,-0.4857617433048726,-0.07565675354673077,-0.4101049897581418
13,University of Cambridge,6,2.7,EURO,metr,UC-2,1.5787256657408355,-0.07565675354673077,1.6543824192875662
13,University of Crete,2,2.7,EURO,metr,UC,-0.4857617433048726,-0.07565675354673077,-0.4101049897581418
16,VU Amsterdam,3,2.6,EURO,metr,VA,0.030360108956554423,-0.13839650039036122,0.16875660934691564
17,TU Dresden,2,2.5,EURO,metr,TD-2,-0.4857617433048726,-0.20113624723399165,-0.28462549607088095
17,University College London,6,2.5,EURO,metr,UCL,1.5787256657408355,-0.20113624723399165,1.7798619129748272
19,University of Warwick,1,2.4,EURO,metr,UW,-1.0018835955662997,-0.2638759940776221,-0.7380076014886776
20,RWTH Aachen University,2,2.1,EURO,metr,RAU,-0.4857617433048726,-0.45209523460851314,-0.033666508696359454
21,TU Kaiserslautern,1,2.0,EURO,metr,TK,-1.0018835955662997,-0.5148349814521436,-0.4870486141141561
21,University of Strathclyde,2,2.0,EURO,metr,US-2,-0.4857617433048726,-0.5148349814521436,0.029073238147270974
21,University of Surrey,1,2.0,EURO,metr,US,-1.0018835955662997,-0.5148349814521436,-0.4870486141141561
24,Ecole Normale Superieure de Lyon,2,1.8,EURO,metr,ENSL,-0.4857617433048726,-0.6403144751394043,0.15455273183453172
24,KTH Royal Institute of Technology,2,1.8,EURO,metr,KRIT,-0.4857617433048726,-0.6403144751394043,0.15455273183453172
24,University of Glasgow,1,1.8,EURO,metr,UG,-1.0018835955662997,-0.6403144751394043,-0.3615691204268954
27,NTUA,2,1.6,EURO,metr,N,-0.4857617433048726,-0.7657939688266651,0.28003222552179247
28,TU Darmstadt,2,1.5,EURO,metr,TD,-0.4857617433048726,-0.8285337156702955,0.34277197236542295
29,Hebrew University of Jerusalem,2,1.4,EURO,metr,HUJ,-0.4857617433048726,-0.8912734625139259,0.4055117192090533
29,IMDEA Software Institute,1,1.4,EURO,metr,ISI,-1.0018835955662997,-0.8912734625139259,-0.11061013305237377
29,Polytechnic University of Catalonia,2,1.4,EURO,metr,PUC,-0.4857617433048726,-0.8912734625139259,0.4055117192090533
29,Sapienza University of Rome,1,1.4,EURO,metr,SUR,-1.0018835955662997,-0.8912734625139259,-0.11061013305237377
29,TU Wien,2,1.4,EURO,metr,TW,-0.4857617433048726,-0.8912734625139259,0.4055117192090533
29,University of Twente,1,1.4,EURO,metr,UT,-1.0018835955662997,-0.8912734625139259,-0.11061013305237377
