Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Northeastern University,8,15.0,USA,metr,NU-2,0.43525927896158795,2.9571962923443946,-2.5219370133828067
2,Univ. of California - San Diego,9,13.3,USA,metr,UCSD,0.7351045600240154,2.38106230119264,-1.6459577411686248
3,Georgia Institute of Technology,17,12.0,USA,metr,GIT,3.1338668085234342,1.940489249135416,1.1933775593880183
4,Carnegie Mellon University,12,9.8,USA,metr,CMU,1.6346404032112973,1.1949040841154985,0.4397363190957988
5,University of Massachusetts Amherst,8,9.0,USA,metr,UMA,0.43525927896158795,0.9237822059264374,-0.4885229269648495
6,Pennsylvania State University,10,8.3,USA,metr,PSU,1.0349498410864426,0.6865505625110093,0.3483992785754333
7,Massachusetts Institute of Technology,8,7.3,USA,metr,MIT,0.43525927896158795,0.3476482147746829,0.08761106418690506
8,University of Michigan,9,7.2,USA,metr,UM,0.7351045600240154,0.3137579800010504,0.421346580022965
9,Columbia University,9,6.9,USA,metr,CU-2,0.7351045600240154,0.21208727568015256,0.5230172843438627
10,Ohio State University,6,6.5,USA,metr,OSU,-0.16443128316326672,0.07652633658562197,-0.24095761974888869
11,Univ. of Illinois at Urbana-Champaign,10,6.3,USA,metr,UIU,1.0349498410864426,0.008745867038356676,1.026203974048086
12,California Institute of Technology,2,6.2,USA,metr,CIT,-1.363812407412976,-0.02514436773527582,-1.3386680396777002
13,Stony Brook University,8,6.1,USA,metr,SBU,0.43525927896158795,-0.05903460250890862,0.4942938814704966
13,Univ. of California - Riverside,8,6.1,USA,metr,UCR,0.43525927896158795,-0.05903460250890862,0.4942938814704966
15,University of Southern California,4,6.0,USA,metr,USC,-0.7641218452881214,-0.09292483728254111,-0.6711970080055804
15,University of Wisconsin - Madison,8,6.0,USA,metr,UWM,0.43525927896158795,-0.09292483728254111,0.5281841162441291
17,University of Chicago,4,5.9,USA,metr,UC,-0.7641218452881214,-0.12681507205617362,-0.6373067732319478
18,University of Maryland - College Park,6,5.6,USA,metr,UMCP,-0.16443128316326672,-0.2284857763770717,0.06405449321380499
19,University of Washington,6,5.1,USA,metr,UW,-0.16443128316326672,-0.3979369502452348,0.23350566708196807
20,Princeton University,8,4.6,USA,metr,PU-2,0.43525927896158795,-0.5673881241133979,1.002647403074986
21,Northwestern University,4,4.5,USA,metr,NU,-0.7641218452881214,-0.6012783588870304,-0.16284348640109103
22,Purdue University,8,4.3,USA,metr,PU,0.43525927896158795,-0.6690588284342956,1.1043181073958837
23,University of Texas at Austin,3,4.1,USA,metr,UTA,-1.0639671263505488,-0.736839297981561,-0.3271278283689878
24,Stanford University,2,4.0,USA,metr,SU,-1.363812407412976,-0.7707295327551935,-0.5930828746577825
25,Univ. of California - Davis,4,3.8,USA,metr,UCD,-0.7641218452881214,-0.8385100023024588,0.07438815701433732
26,Boston University,4,3.7,USA,metr,BU,-0.7641218452881214,-0.8724002370760913,0.10827839178796983
27,Duke University,4,3.5,USA,metr,DU,-0.7641218452881214,-0.9401807066233566,0.17605886133523518
28,Cornell University,4,3.4,USA,metr,CU,-0.7641218452881214,-0.9740709413969892,0.2099490961088678
28,Johns Hopkins University,3,3.4,USA,metr,JHU,-1.0639671263505488,-0.9740709413969892,-0.08989618495355955
30,North Carolina State University,2,3.3,USA,metr,NCSU,-1.363812407412976,-1.007961176170622,-0.35585123124235407
30,Virginia Tech,5,3.3,USA,metr,VT,-0.4642765642256941,-1.007961176170622,0.5436846119449279
