Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Northeastern University,8,15.0,WORLD,metr,NU-2,0.12667371434271327,3.075863436533321,-2.949189722190608
2,Univ. of California - San Diego,9,13.3,WORLD,metr,UCSD,0.41899767051820525,2.4311078456447084,-2.0121101751265034
3,Georgia Institute of Technology,17,12.0,WORLD,metr,GIT,2.757589319922141,1.93805945261224,0.819529867309901
4,Carnegie Mellon University,12,9.8,WORLD,metr,CMU,1.295969539044681,1.103669864403448,0.1922996746412331
5,University of Massachusetts Amherst,8,9.0,WORLD,metr,UMA,0.12667371434271327,0.8002554686911595,-0.6735817543484462
6,TU Delft,7,8.5,WORLD,metr,TD,-0.1656502418327787,0.6106214713709793,-0.776271713203758
7,Pennsylvania State University,10,8.3,WORLD,metr,PSU,0.7113216266936973,0.5347678724429076,0.17655375425078967
8,Massachusetts Institute of Technology,8,7.3,WORLD,metr,MIT,0.12667371434271327,0.15549987780254707,-0.028826163459833798
9,University of Michigan,9,7.2,WORLD,metr,UM,0.41899767051820525,0.11757307833851117,0.3014245921796941
10,Columbia University,9,6.9,WORLD,metr,CU,0.41899767051820525,0.0037926799464031843,0.41520499057180205
11,Ohio State University,6,6.5,WORLD,metr,OSU,-0.45797419800827066,-0.14791451790974103,-0.31005968009852963
12,Univ. of Illinois at Urbana-Champaign,10,6.3,WORLD,metr,UIU,0.7113216266936973,-0.22376811683781314,0.9350897435315104
13,California Institute of Technology,2,6.2,WORLD,metr,CIT,-1.6272700227102386,-0.26169491630184905,-1.3655751064083894
13,Max Planck Society,4,6.2,WORLD,metr,MPS,-1.0426221103592546,-0.26169491630184905,-0.7809271940574055
15,Stony Brook University,8,6.1,WORLD,metr,SBU,0.12667371434271327,-0.29962171576588525,0.4262954301085985
15,Univ. of California - Riverside,8,6.1,WORLD,metr,UCR,0.12667371434271327,-0.29962171576588525,0.4262954301085985
17,University of Southern California,4,6.0,WORLD,metr,USC,-1.0426221103592546,-0.33754851522992113,-0.7050735951293334
17,University of Wisconsin - Madison,8,6.0,WORLD,metr,UWM,0.12667371434271327,-0.33754851522992113,0.46422222957263437
19,University of Chicago,4,5.9,WORLD,metr,UC,-1.0426221103592546,-0.375475314693957,-0.6671467956652976
20,IMDEA Networks Institute,5,5.7,WORLD,metr,INI,-0.7502981541837627,-0.45132891362202915,-0.2989692405617335
20,Tsinghua University,17,5.7,WORLD,metr,TU,2.757589319922141,-0.45132891362202915,3.2089182335441704
22,University of Maryland - College Park,6,5.6,WORLD,metr,UMCP,-0.45797419800827066,-0.48925571308606536,0.0312815150777947
23,University of Washington,6,5.1,WORLD,metr,UW-2,-0.45797419800827066,-0.6788897104062455,0.2209155123979748
24,ETH Zurich,6,4.9,WORLD,metr,EZ,-0.45797419800827066,-0.7547433093343172,0.29676911132604655
25,EPFL,7,4.8,WORLD,metr,E,-0.1656502418327787,-0.7926701087983534,0.6270198669655747
26,Princeton University,8,4.6,WORLD,metr,PU-2,0.12667371434271327,-0.8685237077264255,0.9951974220691387
27,Northwestern University,4,4.5,WORLD,metr,NU,-1.0426221103592546,-0.9064505071904614,-0.13617160316879318
27,University of Waikato,3,4.5,WORLD,metr,UW,-1.3349460665347466,-0.9064505071904614,-0.4284955593442852
29,KAIST,6,4.4,WORLD,metr,K,-0.45797419800827066,-0.9443773066544973,0.4864031086462266
30,Purdue University,8,4.3,WORLD,metr,PU,0.12667371434271327,-0.9823041061185336,1.1089778204612468
