Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Massachusetts Institute of Technology,15,26.5,USA,network,MIT,1.6434659692725198,2.691898841799271,-1.048432872526751
2,Univ. of California - Berkeley,16,21.7,USA,network,UCB,1.9029605959997598,1.9270341353685387,-0.024073539368778984
3,Carnegie Mellon University,16,20.3,USA,network,CMU,1.9029605959997598,1.7039485959929088,0.19901200000685093
4,Princeton University,13,20.0,USA,network,PU-2,1.12447671581804,1.6561445518409879,-0.5316678360229479
5,University of Washington,8,18.9,USA,network,UW,-0.1729964178181598,1.4808630566172782,-1.653859474435438
6,Stanford University,12,14.8,USA,network,SU,0.8649820890908,0.8275411198743619,0.037440969216438136
7,Univ. of California - San Diego,15,13.8,USA,network,UCSD,1.6434659692725198,0.668194306034626,0.9752716632378937
8,Univ. of Illinois at Urbana-Champaign,13,12.3,USA,network,UIU,1.12447671581804,0.4291740852750223,0.6953026305430177
9,University of Southern California,7,10.6,USA,network,USC,-0.43249104454539977,0.1582845017474713,-0.5907755462928711
10,Cornell University,13,10.3,USA,network,CU-2,1.12447671581804,0.11048045759555072,1.0139962582224893
11,University of Texas at Austin,8,10.2,USA,network,UTA,-0.1729964178181598,0.09454577621157692,-0.2675421940297367
12,Univ. of California - Los Angeles,8,9.3,USA,network,UCLA,-0.1729964178181598,-0.048866356244185075,-0.12413006157397473
13,Harvard University,4,8.7,USA,network,HU,-1.2109749247271195,-0.1444744445480268,-1.0665004801790927
14,University of Michigan,9,7.8,USA,network,UM-2,0.08649820890908014,-0.28788657700378895,0.37438478591286906
15,University of Pennsylvania,8,7.6,USA,network,UP,-0.1729964178181598,-0.3197559397717361,0.1467595219535763
16,University of Massachusetts Amherst,11,7.2,USA,network,UMA,0.60548746236356,-0.3834946653076304,0.9889821276711903
17,New York University,5,6.8,USA,network,NYU,-0.9514802979998797,-0.44723339084352476,-0.5042469071563549
17,University of Chicago,8,6.8,USA,network,UC,-0.1729964178181598,-0.44723339084352476,0.274236973025365
19,University of Maryland - College Park,5,6.7,USA,network,UMCP,-0.9514802979998797,-0.4631680722274983,-0.48831222577238137
20,Rice University,4,5.6,USA,network,RU,-1.2109749247271195,-0.6384495674512077,-0.5725253572759118
21,University of Wisconsin - Madison,8,5.4,USA,network,UWM,-0.1729964178181598,-0.6703189302191548,0.497322512400995
22,Yale University,7,5.1,USA,network,YU,-0.43249104454539977,-0.7181229743710756,0.28563192982567587
23,Duke University,7,4.7,USA,network,DU,-0.43249104454539977,-0.7818616999069699,0.3493706553615701
24,Georgia Institute of Technology,8,4.5,USA,network,GIT,-0.1729964178181598,-0.813731062674917,0.6407346448567572
24,Stony Brook University,9,4.5,USA,network,SBU,0.08649820890908014,-0.813731062674917,0.9002292715839971
26,University of Virginia,5,4.0,USA,network,UV,-0.9514802979998797,-0.8934044695947849,-0.05807582840509473
27,Purdue University,6,3.9,USA,network,PU,-0.6919856712726397,-0.9093391509787585,0.21735347970611885
28,Columbia University,4,3.5,USA,network,CU,-1.2109749247271195,-0.9730778765146528,-0.2378970482124667
28,Ohio State University,5,3.5,USA,network,OSU,-0.9514802979998797,-0.9730778765146528,0.021597578514773175
30,University of Minnesota,3,3.2,USA,network,UM,-1.4704695514543595,-1.0208819206665736,-0.44958763078778596
