Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Massachusetts Institute of Technology,15,26.5,WORLD,network,MIT,1.1990243769254456,2.813055252769241,-1.6140308758437953
2,Univ. of California - Berkeley,16,21.7,WORLD,network,UCB,1.4224450682780132,1.9719423864927232,-0.54949731821471
3,Carnegie Mellon University,16,20.3,WORLD,network,CMU,1.4224450682780132,1.726617800495406,-0.3041727322173928
4,Princeton University,13,20.0,WORLD,network,PU-2,0.7521829942203107,1.6740482463531234,-0.9218652521328128
5,University of Washington,8,18.9,WORLD,network,UW-2,-0.3649204625425268,1.4812932144980882,-1.846213677040615
6,Stanford University,12,14.8,WORLD,network,SU,0.5287623028677432,0.7628426412202302,-0.23408033835248698
7,Univ. of California - San Diego,15,13.8,WORLD,network,UCSD,1.1990243769254456,0.5876107940792891,0.6114135828461565
8,Univ. of Illinois at Urbana-Champaign,13,12.3,WORLD,network,UIU,0.7521829942203107,0.3247630233678775,0.42741997085243316
9,University of Southern California,7,10.6,WORLD,network,USC,-0.5883411538950943,0.026868883228277473,-0.6152100371233719
10,Cornell University,13,10.3,WORLD,network,CU,0.7521829942203107,-0.02570067091400466,0.7778836651343153
11,Peking University,11,10.2,WORLD,network,PU,0.3053416115151757,-0.043223855628099016,0.3485654671432747
11,University of Texas at Austin,8,10.2,WORLD,network,UTA,-0.3649204625425268,-0.043223855628099016,-0.3216966069144278
13,Univ. of California - Los Angeles,8,9.3,WORLD,network,UCLA,-0.3649204625425268,-0.20093251805494572,-0.16398794448758108
14,Tsinghua University,23,9.1,WORLD,network,TU,2.986389907745986,-0.23597888748313411,3.2223687952291202
15,ETH Zurich,10,8.8,WORLD,network,EZ,0.08192092016260819,-0.28854844162541626,0.3704693617880245
16,Harvard University,4,8.7,WORLD,network,HU,-1.2586032279527968,-0.3060716263395106,-0.9525316016132861
17,University of Michigan,9,7.8,WORLD,network,UM,-0.14149977118995932,-0.46378028876635746,0.32228051757639814
18,EPFL,5,7.7,WORLD,network,E,-1.0351825366002294,-0.4813034734804515,-0.5538790631197779
19,University of Pennsylvania,8,7.6,WORLD,network,UP,-0.3649204625425268,-0.4988266581945457,0.1339061956520189
20,University of Massachusetts Amherst,11,7.2,WORLD,network,UMA,0.3053416115151757,-0.5689193970509221,0.8742610085660978
21,New York University,5,6.8,WORLD,network,NYU,-1.0351825366002294,-0.6390121359072986,-0.39617040069293086
21,University of Chicago,8,6.8,WORLD,network,UC,-0.3649204625425268,-0.6390121359072986,0.27409167336477175
23,University of Maryland - College Park,5,6.7,WORLD,network,UMCP,-1.0351825366002294,-0.6565353206213925,-0.3786472159788369
24,KAIST,5,5.6,WORLD,network,K,-1.0351825366002294,-0.8492903524764278,-0.1858921841238016
24,Rice University,4,5.6,WORLD,network,RU,-1.2586032279527968,-0.8492903524764278,-0.40931287547636896
26,University College London,4,5.5,WORLD,network,UCL,-1.2586032279527968,-0.8668135371905219,-0.3917896907622749
27,University of Wisconsin - Madison,8,5.4,WORLD,network,UWM,-0.3649204625425268,-0.884336721904616,0.5194162593620892
28,University of Waterloo,7,5.1,WORLD,network,UW,-0.5883411538950943,-0.9369062760468984,0.348565122151804
28,Yale University,7,5.1,WORLD,network,YU,-0.5883411538950943,-0.9369062760468984,0.348565122151804
30,Technion,11,5.0,WORLD,network,T,0.3053416115151757,-0.9544294607609924,1.2597710722761681
