Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Shanghai Jiao Tong University,15,12.5,ASI,os,SJTU,4.061625914336805,4.862386516061731,-0.8007606017249262
2,Tsinghua University,11,6.2,ASI,os,TU,2.742112926938046,1.923965887650325,0.818147039287721
3,Peking University,4,3.5,ASI,os,PU,0.4329651989902178,0.664642761188294,-0.23167756219807623
4,National University of Singapore,2,2.8,ASI,os,NUS,-0.2267912947091617,0.33815158025369335,-0.5649428749628551
5,Seoul National University,4,2.5,ASI,os,SNU,0.4329651989902178,0.19822678842457886,0.23473841056563893
6,KAIST,5,2.4,ASI,os,K-2,0.7628434458399076,0.15158519114820732,0.6112582546917003
7,Sungkyunkwan University,3,2.1,ASI,os,SU,0.10308695214052804,0.011660399319092837,0.0914265528214352
8,IIT Delhi,2,2.0,ASI,os,ID-2,-0.2267912947091617,-0.03498119795727872,-0.19181009675188299
9,Nanjing University,5,1.9,ASI,os,NU,0.7628434458399076,-0.08162279523365028,0.8444662410735578
10,Fudan University,3,1.8,ASI,os,FU,0.10308695214052804,-0.12826439251002172,0.23135134465054977
11,University of Hong Kong,4,1.7,ASI,os,UHK,0.4329651989902178,-0.1749059897863933,0.6078711887766111
12,Chinese Academy of Sciences,3,1.6,ASI,os,CAS,0.10308695214052804,-0.22154758706276473,0.32463453920329277
12,Qatar Computing Research Institute,1,1.6,ASI,os,QCRI,-0.5566695415588515,-0.22154758706276473,-0.3351219544960868
14,Chinese University of Hong Kong,2,1.5,ASI,os,CUHK-2,-0.2267912947091617,-0.2681891843391363,0.041397889629974594
14,IIIT Delhi,1,1.5,ASI,os,ID,-0.5566695415588515,-0.2681891843391363,-0.2884803572197152
14,IISc Bangalore,1,1.5,ASI,os,IB,-0.5566695415588515,-0.2681891843391363,-0.2884803572197152
17,National Taiwan University,1,1.4,ASI,os,NTU-2,-0.5566695415588515,-0.31483078161550787,-0.24183875994334364
17,USTC,3,1.4,ASI,os,U-2,0.10308695214052804,-0.31483078161550787,0.4179177337560359
19,HKUST,2,1.3,ASI,os,H-2,-0.2267912947091617,-0.36147237889187933,0.13468108418271763
19,HUST,1,1.3,ASI,os,H,-0.5566695415588515,-0.36147237889187933,-0.19519716266697218
19,IIT Hyderabad,1,1.3,ASI,os,IH,-0.5566695415588515,-0.36147237889187933,-0.19519716266697218
19,MBZUAI,2,1.3,ASI,os,M,-0.2267912947091617,-0.36147237889187933,0.13468108418271763
23,Beihang University,1,1.2,ASI,os,BU,-0.5566695415588515,-0.40811397616825085,-0.14855556539060066
23,CUHK (SZ),1,1.2,ASI,os,C,-0.5566695415588515,-0.40811397616825085,-0.14855556539060066
23,KAUST,1,1.2,ASI,os,K,-0.5566695415588515,-0.40811397616825085,-0.14855556539060066
26,City University of Hong Kong,1,1.1,ASI,os,CUHK,-0.5566695415588515,-0.4547555734446223,-0.1019139681142292
26,Nanyang Technological University,1,1.1,ASI,os,NTU,-0.5566695415588515,-0.4547555734446223,-0.1019139681142292
26,Renmin University of China,1,1.1,ASI,os,RUC,-0.5566695415588515,-0.4547555734446223,-0.1019139681142292
26,SUSTech,1,1.1,ASI,os,S,-0.5566695415588515,-0.4547555734446223,-0.1019139681142292
26,Sun Yat-sen University,1,1.1,ASI,os,SYU,-0.5566695415588515,-0.4547555734446223,-0.1019139681142292
26,UNIST,1,1.1,ASI,os,U,-0.5566695415588515,-0.4547555734446223,-0.1019139681142292
26,Zhejiang University,1,1.1,ASI,os,ZU,-0.5566695415588515,-0.4547555734446223,-0.1019139681142292
