Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,EPFL,7,7.1,EURO,os,E,2.2189980379381473,3.5544139183949395,-1.3354158804567922
2,ETH Zurich,7,5.5,EURO,os,EZ,2.2189980379381473,2.4493046582661693,-0.23030662032802196
3,Imperial College London,4,3.1,EURO,os,ICL,0.7766493132783516,0.7916407680730135,-0.014991454794661907
4,Max Planck Society,6,2.8,EURO,os,MPS,1.7382151297182156,0.5844327817988689,1.1537823479193468
5,Universidade de Lisboa,6,2.7,EURO,os,UL,1.7382151297182156,0.515363453040821,1.2228516766773945
6,Technion,5,2.5,EURO,os,T,1.2574322214982836,0.3772247955247246,0.880207425973559
6,Tel Aviv University,2,2.5,EURO,os,TAU,-0.18491650316151226,0.3772247955247246,-0.5621412986862369
8,Hebrew University of Jerusalem,1,2.3,EURO,os,HUJ,-0.6656994113814442,0.23908613800862816,-0.9047855493900723
9,VU Amsterdam,3,2.0,EURO,os,VA,0.29586640505841966,0.03187815173448381,0.26398825332393583
10,University of Cambridge,3,1.5,EURO,os,UC,0.29586640505841966,-0.313468492055757,0.6093348971141767
11,Lancaster University,1,1.3,EURO,os,LU,-0.6656994113814442,-0.4516071495718533,-0.2140922618095909
11,TU Dresden,2,1.3,EURO,os,TD,-0.18491650316151226,-0.4516071495718533,0.266690646410341
11,University College London,2,1.3,EURO,os,UCL,-0.18491650316151226,-0.4516071495718533,0.266690646410341
11,University of Edinburgh,1,1.3,EURO,os,UE,-0.6656994113814442,-0.4516071495718533,-0.2140922618095909
11,University of Trento,1,1.3,EURO,os,UT,-0.6656994113814442,-0.4516071495718533,-0.2140922618095909
16,KTH Royal Institute of Technology,1,1.2,EURO,os,KRIT,-0.6656994113814442,-0.5206764783299015,-0.14502293305154268
16,Politecnico di Milano,1,1.2,EURO,os,PM,-0.6656994113814442,-0.5206764783299015,-0.14502293305154268
18,Chalmers/GU,1,1.1,EURO,os,C,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
18,Hamburg University of Technology,1,1.1,EURO,os,HUT,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
18,IMDEA Software Institute,1,1.1,EURO,os,ISI,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
18,IST Austria,1,1.1,EURO,os,IA,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
18,Royal Holloway University of London,1,1.1,EURO,os,RHUL,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
18,Sapienza University of Rome,1,1.1,EURO,os,SUR,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
18,TU Braunschweig,1,1.1,EURO,os,TB,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
18,University of Hannover,1,1.1,EURO,os,UH,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
18,University of Osnabrück,1,1.1,EURO,os,UO,-0.6656994113814442,-0.5897458070879495,-0.07595360429349463
