Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Massachusetts Institute of Technology,15,17.2,WORLD,os,MIT,1.9144450509374888,3.4336669029626052,-1.5192218520251164
2,Shanghai Jiao Tong University,15,12.5,WORLD,os,SJTU,1.9144450509374888,1.999555538881584,-0.08511048794409515
3,Univ. of California - Berkeley,14,11.5,WORLD,os,UCB,1.6570406743408517,1.6944254614175367,-0.03738478707668502
4,Carnegie Mellon University,19,10.2,WORLD,os,CMU,2.9440625573240373,1.2977563607142752,1.646306196609762
5,University of Wisconsin - Madison,8,9.1,WORLD,os,UWM,0.11261441476102875,0.9621132755038234,-0.8494988607427947
6,University of Washington,8,8.0,WORLD,os,UW-2,0.11261441476102875,0.6264701902933717,-0.513855775532343
7,Columbia University,9,7.9,WORLD,os,CU-2,0.3700187913576659,0.5959571825469671,-0.22593839118930115
8,University of Texas at Austin,7,7.3,WORLD,os,UTA,-0.14478996183560838,0.41287913606853865,-0.557669097904147
9,EPFL,7,7.1,WORLD,os,E,-0.14478996183560838,0.35185312057572915,-0.49664308241133753
10,University of Michigan,7,6.7,WORLD,os,UM,-0.14478996183560838,0.22980108959011045,-0.3745910514257188
11,University of Toronto,9,6.6,WORLD,os,UT,0.3700187913576659,0.19928808184370558,0.17073070951396033
12,Tsinghua University,11,6.2,WORLD,os,TU,0.8848275445509401,0.07723605085808688,0.8075914936928532
13,ETH Zurich,7,5.5,WORLD,os,EZ,-0.14478996183560838,-0.1363550033667462,-0.008434958468862191
14,New York University,5,5.3,WORLD,os,NYU,-0.6595987150288827,-0.19738101885955567,-0.462217696169327
14,University of Pennsylvania,7,5.3,WORLD,os,UP,-0.14478996183560838,-0.19738101885955567,0.052591057023947285
16,Univ. of Illinois at Urbana-Champaign,8,4.9,WORLD,os,UIU,0.11261441476102875,-0.31943304984517434,0.4320474646062031
17,Georgia Institute of Technology,5,4.8,WORLD,os,GIT,-0.6595987150288827,-0.34994605759157926,-0.3096526574373034
18,Univ. of California - San Diego,12,4.7,WORLD,os,UCSD,1.1422319211475773,-0.38045906533798385,1.5226909864855611
18,University of Chicago,5,4.7,WORLD,os,UC,-0.6595987150288827,-0.38045906533798385,-0.27913964969089883
20,Cornell University,7,4.3,WORLD,os,CU,-0.14478996183560838,-0.5025110963236028,0.3577211344879944
20,Princeton University,3,4.3,WORLD,os,PU-3,-1.174407468222157,-0.5025110963236028,-0.6718963718985542
22,Stanford University,6,4.2,WORLD,os,SU,-0.40219433843224556,-0.5330241040700074,0.13082976563776189
23,Purdue University,7,4.1,WORLD,os,PU-2,-0.14478996183560838,-0.5635371118164123,0.4187471499808039
24,Pennsylvania State University,8,3.7,WORLD,os,PSU,0.11261441476102875,-0.685589142802031,0.7982035575630597
25,Peking University,4,3.5,WORLD,os,PU,-0.9170030916255199,-0.7466151582948405,-0.17038793333067936
26,Stony Brook University,4,3.3,WORLD,os,SBU,-0.9170030916255199,-0.80764117378765,-0.10936191783786986
27,Imperial College London,4,3.1,WORLD,os,ICL,-0.9170030916255199,-0.8686671892804593,-0.04833590234506058
28,Univ. of California - Los Angeles,5,3.0,WORLD,os,UCLA,-0.6595987150288827,-0.899180197026864,0.23958148199798135
29,Harvard University,4,2.9,WORLD,os,HU,-0.9170030916255199,-0.9296932047732688,0.012690113147748927
30,Max Planck Society,6,2.8,WORLD,os,MPS,-0.40219433843224556,-0.9602062125196735,0.558011874087428
30,National University of Singapore,2,2.8,WORLD,os,NUS,-1.4318118448187942,-0.9602062125196735,-0.47160563229912067
30,University of Waterloo,4,2.8,WORLD,os,UW,-0.9170030916255199,-0.9602062125196735,0.04320312089415368
