Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Monash University,26,3.6,AUS,oth,MU-3,2.633765023822809,3.131646720927287,-0.49788169710447816
2,University of Sydney,12,2.3,AUS,oth,US,0.5915841438125078,0.9506784688529261,-0.35909432504041827
3,University of Melbourne,21,2.2,AUS,oth,UM,1.9044147095334156,0.782911680231822,1.1215030293015937
4,Australian National University,10,2.0,AUS,oth,ANU,0.2998440180967505,0.44737810298961234,-0.14753408489286185
4,UNSW,9,2.0,AUS,oth,U,0.15397395523887186,0.44737810298961234,-0.2934041477507405
6,Queensland University of Technology,14,1.9,AUS,oth,QUT,0.883324269528265,0.27961131436850756,0.6037129551597575
6,University of Adelaide,9,1.9,AUS,oth,UA-2,0.15397395523887186,0.27961131436850756,-0.1256373591296357
8,University of Canterbury,2,1.8,AUS,oth,UC,-0.8671164847662787,0.11184452574740308,-0.9789610105136818
9,University of Queensland,7,1.6,AUS,oth,UQ,-0.1377661704768854,-0.22368905149480617,0.08592288101792075
9,University of Technology Sydney,4,1.6,AUS,oth,UTS,-0.5753763590505213,-0.22368905149480617,-0.35168730755571515
9,Victoria University of Wellington,8,1.6,AUS,oth,VUW,0.00810389238099323,-0.22368905149480617,0.2317929438757994
12,Macquarie University,2,1.3,AUS,oth,MU-2,-0.8671164847662787,-0.7269894173581203,-0.1401270674081584
12,RMIT University,6,1.3,AUS,oth,RU,-0.28363623333476407,-0.7269894173581203,0.4433531840233562
12,University of Auckland,5,1.3,AUS,oth,UA,-0.4295062961926427,-0.7269894173581203,0.2974831211654776
12,University of Otago,2,1.3,AUS,oth,UO,-0.8671164847662787,-0.7269894173581203,-0.1401270674081584
12,University of Western Australia,2,1.3,AUS,oth,UWA,-0.8671164847662787,-0.7269894173581203,-0.1401270674081584
17,Massey University,3,1.2,AUS,oth,MU,-0.7212464219083999,-0.8947562059792251,0.17350978407082518
18,University of Waikato,1,1.0,AUS,oth,UW,-1.0129865476241573,-1.2302897832214343,0.21730323559727704
