Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,University of Toronto,40,13.1,CND,oth,UT,3.3940915225651236,4.098635838118877,-0.7045443155537536
2,University of Waterloo,21,5.9,CND,oth,UW,1.3835038192442133,1.3224169986404464,0.06108682060376691
3,Simon Fraser University,26,5.8,CND,oth,SFU,1.9126058464339266,1.2838584036476903,0.6287474427862363
4,University of British Columbia,24,5.6,CND,oth,UBC,1.7009650355580415,1.2067412136621782,0.4942238218958632
5,McGill University,11,4.3,CND,oth,MU-2,0.3252997648647867,0.7054794787563504,-0.38017971389156374
6,University of Victoria,6,2.4,CND,oth,UV,-0.20380226232492654,-0.02713382610601332,-0.17666843621891323
7,University of Calgary,12,2.2,CND,oth,UC,0.43112017030272937,-0.10425101609152519,0.5353711863942545
8,University of Montreal,8,1.9,CND,oth,UM-2,0.00783854855095875,-0.21992680106979326,0.227765349620752
9,Carleton University,4,1.8,CND,oth,CU-2,-0.41544307320081186,-0.25848539606254917,-0.1569576771382627
9,University of Alberta,10,1.8,CND,oth,UA,0.21947935942684405,-0.25848539606254917,0.4779647554893932
9,University of Manitoba,5,1.8,CND,oth,UM,-0.30962266776286923,-0.25848539606254917,-0.051137271700320064
12,University of Guelph,5,1.6,CND,oth,UG,-0.30962266776286923,-0.33560258604806115,0.025979918285191916
12,University of Saskatchewan,3,1.6,CND,oth,US-2,-0.5212634786387546,-0.33560258604806115,-0.1856608925906934
14,Université Laval,8,1.5,CND,oth,UL,0.00783854855095875,-0.3741611810408172,0.3819997295917759
15,Dalhousie University,7,1.4,CND,oth,DU,-0.0979818568869839,-0.4127197760335732,0.3147379191465893
15,Queen’s University,3,1.4,CND,oth,QU,-0.5212634786387546,-0.4127197760335732,-0.10854370260518137
17,York University,6,1.3,CND,oth,YU,-0.20380226232492654,-0.4512783710263291,0.24747610870140258
18,Memorial University of Newfoundland,2,1.2,CND,oth,MUN,-0.6270838840766971,-0.48983696601908516,-0.13724691805761197
18,University of New Brunswick,1,1.2,CND,oth,UNB,-0.7329042895146398,-0.48983696601908516,-0.24306732349555465
18,University of Ottawa,3,1.2,CND,oth,UO,-0.5212634786387546,-0.48983696601908516,-0.03142651261966939
18,Université de Sherbrooke,2,1.2,CND,oth,US,-0.6270838840766971,-0.48983696601908516,-0.13724691805761197
18,Université du Québec à Montréal,2,1.2,CND,oth,UQM,-0.6270838840766971,-0.48983696601908516,-0.13724691805761197
23,Concordia University,1,1.1,CND,oth,CU,-0.7329042895146398,-0.528395561011841,-0.20450872850279878
23,McMaster University,1,1.1,CND,oth,MU,-0.7329042895146398,-0.528395561011841,-0.20450872850279878
23,Polytechnique Montreal,1,1.1,CND,oth,PM,-0.7329042895146398,-0.528395561011841,-0.20450872850279878
26,Brock University,1,1.0,CND,oth,BU,-0.7329042895146398,-0.5669541560045971,-0.16595013351004273
26,Toronto Metropolitan University,1,1.0,CND,oth,TMU,-0.7329042895146398,-0.5669541560045971,-0.16595013351004273
