Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,ETH Zurich,23,8.1,EURO,oth,EZ,1.1648467154958966,3.459154738694197,-2.2943080231983006
2,University College London,28,6.4,EURO,oth,UCL,1.9464538189671692,2.1726518824543657,-0.2261980634871965
3,TU Munich,30,6.1,EURO,oth,TM,2.259096660355678,1.945621966647336,0.31347469370834213
4,Max Planck Society,14,5.2,EURO,oth,MPS,-0.24204607075239415,1.264532219226249,-1.506578289978643
5,Tel Aviv University,16,4.9,EURO,oth,TAU,0.07059677063611489,1.03750230341922,-0.966905532783105
6,University of Edinburgh,21,4.6,EURO,oth,UE,0.8522038741073875,0.8104723876121901,0.04173148649519742
7,University of Bonn,11,3.9,EURO,oth,UB-4,-0.7110103328351577,0.28073591739578885,-0.9917462502309465
8,TU Delft,30,3.6,EURO,oth,TD-2,2.259096660355678,0.053706001588759815,2.2053906587669183
9,Karlsruhe Institute of Technology,14,3.4,EURO,oth,KIT,-0.24204607075239415,-0.09764727561592644,-0.1443987951364677
10,Aalto University,17,3.3,EURO,oth,AU-2,0.2269181913303694,-0.17332391421826956,0.4002421055486389
10,TU Berlin,9,3.3,EURO,oth,TB,-1.0236531742236668,-0.17332391421826956,-0.8503292600053972
12,Graz University of Technology,16,3.2,EURO,oth,GUT,0.07059677063611489,-0.24900055282061237,0.31959732345672726
12,RWTH Aachen University,8,3.2,EURO,oth,RAU,-1.1799745949179212,-0.24900055282061237,-0.9309740420973088
14,EPFL,9,3.1,EURO,oth,E,-1.0236531742236668,-0.3246771914229555,-0.6989759828007113
14,University of Oxford,21,3.1,EURO,oth,UO,0.8522038741073875,-0.3246771914229555,1.176881065530343
16,Aarhus University,11,3.0,EURO,oth,AU,-0.7110103328351577,-0.4003538300252986,-0.31065650280985907
17,CRIStAL,14,2.9,EURO,oth,C,-0.24204607075239415,-0.47603046862764176,0.2339843978752476
17,Saarland University,10,2.9,EURO,oth,SU,-0.8673317535294123,-0.47603046862764176,-0.3913012849017705
17,Technion,21,2.9,EURO,oth,T,0.8522038741073875,-0.47603046862764176,1.3282343427350294
17,Universidade de Lisboa,22,2.9,EURO,oth,UL,1.008525294801642,-0.47603046862764176,1.4845557634292839
21,University of Bristol,20,2.8,EURO,oth,UB-3,0.6958824534131329,-0.551707107229985,1.2475895606431178
22,TU Darmstadt,9,2.7,EURO,oth,TD,-1.0236531742236668,-0.6273837458323277,-0.39626942839133905
22,TU Wien,14,2.7,EURO,oth,TW,-0.24204607075239415,-0.6273837458323277,0.38533767507993355
22,University of Bath,13,2.7,EURO,oth,UB-2,-0.3983674914466487,-0.6273837458323277,0.22901625438567902
22,University of Bremen,9,2.7,EURO,oth,UB,-1.0236531742236668,-0.6273837458323277,-0.39626942839133905
22,University of Cambridge,13,2.7,EURO,oth,UC,-0.3983674914466487,-0.6273837458323277,0.22901625438567902
22,University of Glasgow,16,2.7,EURO,oth,UG,0.07059677063611489,-0.6273837458323277,0.6979805164684426
28,Sapienza University of Rome,13,2.6,EURO,oth,SUR,-0.3983674914466487,-0.7030603844346708,0.3046928929880221
28,University of Stuttgart,8,2.6,EURO,oth,US,-1.1799745949179212,-0.7030603844346708,-0.47691421048325044
28,University of Tübingen,14,2.6,EURO,oth,UT,-0.24204607075239415,-0.7030603844346708,0.46101431368227663
28,University of Zurich,8,2.6,EURO,oth,UZ,-1.1799745949179212,-0.7030603844346708,-0.47691421048325044
