Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,National University of Singapore,10,9.1,ASI,proglan,NUS,2.962507696711931,2.652950536991622,0.30955715972030884
2,Nanjing University,10,8.8,ASI,proglan,NU,2.962507696711931,2.5203720614313956,0.44213563528053523
3,KAIST,5,8.2,ASI,proglan,K,0.9368614083618927,2.255215110310941,-1.3183537019490483
4,Peking University,8,6.3,ASI,proglan,PU,2.1522491813719156,1.4155514317628384,0.7366977496090772
5,Seoul National University,3,5.9,ASI,proglan,SNU,0.12660289302187738,1.2387801310158695,-1.112177237993992
6,HKUST,5,5.1,ASI,proglan,H,0.9368614083618927,0.8852375295219309,0.05162387883996178
7,Tsinghua University,4,4.5,ASI,proglan,TU,0.5317321506918851,0.6200805784014775,-0.08834842770959239
8,National Institute of Informatics,2,3.7,ASI,proglan,NII,-0.27852636464813024,0.26653797690753933,-0.5450643415556695
9,University of Tsukuba,1,3.4,ASI,proglan,UT-2,-0.6836556223181379,0.13395950134731235,-0.8176151236654503
10,Shanghai Jiao Tong University,3,3.1,ASI,proglan,SJTU,0.12660289302187738,0.0013810257870856175,0.12522186723479176
11,IIT Madras,2,2.8,ASI,proglan,IM,-0.27852636464813024,-0.13119744977314132,-0.14732891487498892
11,Waseda University,1,2.8,ASI,proglan,WU,-0.6836556223181379,-0.13119744977314132,-0.5524581725449966
13,IISc Bangalore,3,2.7,ASI,proglan,IB-2,0.12660289302187738,-0.17539027495988344,0.3019931679817608
14,University of Hong Kong,1,2.6,ASI,proglan,UHK,-0.6836556223181379,-0.21958310014662577,-0.4640725221715122
15,Kyoto University,2,2.5,ASI,proglan,KU-2,-0.27852636464813024,-0.2637759253333681,-0.014750439314762165
16,POSTECH,2,2.3,ASI,proglan,P,-0.27852636464813024,-0.3521615757068527,0.07363521105872245
16,University of Tokyo,2,2.3,ASI,proglan,UT,-0.27852636464813024,-0.3521615757068527,0.07363521105872245
18,Korea University,1,2.0,ASI,proglan,KU,-0.6836556223181379,-0.4847400512670795,-0.19891557105105845
19,Chinese Academy of Sciences,3,1.9,ASI,proglan,CAS,0.12660289302187738,-0.5289328764538218,0.6555357694756991
20,Beihang University,3,1.8,ASI,proglan,BU,0.12660289302187738,-0.573125701640564,0.6997285946624414
21,IIT Bombay,2,1.6,ASI,proglan,IB,-0.27852636464813024,-0.6615113520140485,0.3829849873659183
21,Xiamen University,1,1.6,ASI,proglan,XU,-0.6836556223181379,-0.6615113520140485,-0.022144270304089386
21,Zhejiang University,1,1.6,ASI,proglan,ZU,-0.6836556223181379,-0.6615113520140485,-0.022144270304089386
24,IIT Hyderabad,1,1.5,ASI,proglan,IH,-0.6836556223181379,-0.7057041772007908,0.022048554882652893
24,Nanyang Technological University,2,1.5,ASI,proglan,NTU,-0.27852636464813024,-0.7057041772007908,0.4271778125526606
24,TeIAS,1,1.5,ASI,proglan,T,-0.6836556223181379,-0.7057041772007908,0.022048554882652893
27,East China Normal University,2,1.4,ASI,proglan,ECNU,-0.27852636464813024,-0.7498970023875331,0.47137063773940285
27,Shenzhen University,1,1.4,ASI,proglan,SU,-0.6836556223181379,-0.7498970023875331,0.06624138006939517
29,Chinese University of Hong Kong,1,1.3,ASI,proglan,CUHK,-0.6836556223181379,-0.7940898275742754,0.11043420525613745
29,IIT Delhi,1,1.3,ASI,proglan,ID,-0.6836556223181379,-0.7940898275742754,0.11043420525613745
29,Singapore Management University,1,1.3,ASI,proglan,SMU,-0.6836556223181379,-0.7940898275742754,0.11043420525613745
29,Yonsei University,1,1.3,ASI,proglan,YU,-0.6836556223181379,-0.7940898275742754,0.11043420525613745
