Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Carnegie Mellon University,15,21.3,USA,proglan,CMU,1.8012503886121198,2.695951489535016,-0.8947011009228962
2,Massachusetts Institute of Technology,14,17.9,USA,proglan,MIT,1.5497244334455627,1.9628418739597042,-0.41311744051414157
3,University of Wisconsin - Madison,11,16.3,USA,proglan,UWM,0.7951465679458908,1.61784911368897,-0.8227025457430793
4,Cornell University,9,15.6,USA,proglan,CU,0.2920946576127762,1.4669147810705234,-1.1748201234577471
5,University of Pennsylvania,17,15.2,USA,proglan,UP,2.304302298945234,1.3806665910028397,0.9236357079423945
6,Univ. of Illinois at Urbana-Champaign,15,13.8,USA,proglan,UIU,1.8012503886121198,1.078797925765947,0.7224524628461728
7,Purdue University,12,12.3,USA,proglan,PU-2,1.046672523112448,0.7553672130121333,0.2913053101003148
8,University of Texas at Austin,8,11.9,USA,proglan,UTA,0.04056870244621888,0.6691190229444496,-0.6285503204982307
9,University of Utah,9,10.2,USA,proglan,UU,0.2920946576127762,0.3025642151567937,-0.010469557544017516
10,Stanford University,9,10.1,USA,proglan,SU,0.2920946576127762,0.2810021676398729,0.011092489972903297
11,Princeton University,4,9.3,USA,proglan,PU,-0.9655351182200103,0.10850578750450578,-1.074040905724516
12,Univ. of California - San Diego,8,9.2,USA,proglan,UCSD,0.04056870244621888,0.08694373998758456,-0.04637503754136568
13,University of Washington,9,8.9,USA,proglan,UW,0.2920946576127762,0.022257597436822034,0.26983706017595416
14,Northeastern University,9,7.9,USA,proglan,NU-2,0.2920946576127762,-0.19336287773238714,0.48545753534516334
15,Univ. of California - Los Angeles,6,7.4,USA,proglan,UCLA,-0.46248320788689573,-0.30117311531699176,-0.16131009256990397
16,University of Maryland - College Park,6,7.0,USA,proglan,UMCP,-0.46248320788689573,-0.3874213053846755,-0.07506190250222022
17,Indiana University,5,6.8,USA,proglan,IU,-0.714009163053453,-0.43054540041851735,-0.2834637626349356
18,New York University,6,6.5,USA,proglan,NYU,-0.46248320788689573,-0.49523154296928007,0.03274833508238434
18,Stevens Institute of Technology,4,6.5,USA,proglan,SIT,-0.9655351182200103,-0.49523154296928007,-0.4703035752507302
20,Rutgers University,3,5.9,USA,proglan,RU,-1.2170610733865677,-0.6246038280708055,-0.5924572453157622
21,Georgia Institute of Technology,5,5.7,USA,proglan,GIT,-0.714009163053453,-0.6677279231046473,-0.04628123994880562
21,University of Michigan,13,5.7,USA,proglan,UM,1.2981984782790053,-0.6677279231046473,1.9659264013836526
23,Pennsylvania State University,7,5.4,USA,proglan,PSU,-0.2109572527203384,-0.7324140656554101,0.5214568129350717
24,Univ. of California - Santa Barbara,7,5.3,USA,proglan,UCSB,-0.2109572527203384,-0.7539761131723312,0.5430188604519928
24,Yale University,3,5.3,USA,proglan,YU,-1.2170610733865677,-0.7539761131723312,-0.4630849602142365
26,Harvard University,2,5.2,USA,proglan,HU,-1.4685870285531248,-0.775538160689252,-0.6930488678638729
27,Northwestern University,7,4.3,USA,proglan,NU,-0.2109572527203384,-0.9695965883415403,0.7586393356212019
28,Univ. of California - Berkeley,8,4.2,USA,proglan,UCB-2,0.04056870244621888,-0.9911586358584611,1.0317273383046799
28,University of Colorado Boulder,3,4.2,USA,proglan,UCB,-1.2170610733865677,-0.9911586358584611,-0.22590243752810657
30,University of Massachusetts Amherst,6,3.7,USA,proglan,UMA,-0.46248320788689573,-1.0989688734430658,0.6364856655561701
30,University of Southern California,3,3.7,USA,proglan,USC,-1.2170610733865677,-1.0989688734430658,-0.11809219994350184
