Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Max Planck Society,9,21.7,WORLD,proglan,MPS,-0.07930838360418911,2.404369053981555,-2.483677437585744
2,Carnegie Mellon University,15,21.3,WORLD,proglan,CMU,1.7051302474900605,2.310448387810401,-0.6053181403203407
3,ETH Zurich,12,18.0,WORLD,proglan,EZ,0.8129109319429356,1.5356028918983764,-0.7226919599554408
4,Massachusetts Institute of Technology,14,17.9,WORLD,proglan,MIT,1.4077238089743522,1.5121227253555873,-0.10439891638123511
5,University of Wisconsin - Madison,11,16.3,WORLD,proglan,UWM,0.5155044934272274,1.13644006067097,-0.6209355672437425
6,Cornell University,9,15.6,WORLD,proglan,CU,-0.07930838360418911,0.9720788948714493,-1.0513872784756384
7,University of Pennsylvania,17,15.2,WORLD,proglan,UP,2.299943124521477,0.8781582287002947,1.4217848958211823
8,Univ. of Illinois at Urbana-Champaign,15,13.8,WORLD,proglan,UIU,1.7051302474900605,0.5494358971012542,1.1556943503888064
9,Aarhus University,7,13.1,WORLD,proglan,AU,-0.6741212606356056,0.3850747313017336,-1.0591959919373393
10,Purdue University,12,12.3,WORLD,proglan,PU-2,0.8129109319429356,0.19723339895942485,0.6156775329835108
11,Imperial College London,8,12.2,WORLD,proglan,ICL,-0.3767148221198974,0.17375323241663587,-0.5504680545365332
12,University of Texas at Austin,8,11.9,WORLD,proglan,UTA,-0.3767148221198974,0.10331273278827026,-0.4800275549081676
13,University of Cambridge,8,11.3,WORLD,proglan,UC,-0.3767148221198974,-0.03756826646846142,-0.339146555651436
14,University of Utah,9,10.2,WORLD,proglan,UU,-0.07930838360418911,-0.2958500984391366,0.2165417148349475
15,Stanford University,9,10.1,WORLD,proglan,SU,-0.07930838360418911,-0.3193302649819252,0.24002188137773606
16,University of Toronto,6,9.5,WORLD,proglan,UT,-0.9715276991513139,-0.4602112642386568,-0.5113164349126571
17,Princeton University,4,9.3,WORLD,proglan,PU,-1.5663405761827305,-0.5071715973242339,-1.0591689788584966
18,Univ. of California - San Diego,8,9.2,WORLD,proglan,UCSD,-0.3767148221198974,-0.5306517638670228,0.15393694174712547
19,National University of Singapore,10,9.1,WORLD,proglan,NUS,0.21809805491151915,-0.5541319304098115,0.7722299853213306
20,University of Washington,9,8.9,WORLD,proglan,UW,-0.07930838360418911,-0.6010922634953885,0.5217838798911993
21,Nanjing University,10,8.8,WORLD,proglan,NU-2,0.21809805491151915,-0.6245724300381771,0.8426704849496962
22,University of Edinburgh,15,8.4,WORLD,proglan,UE,1.7051302474900605,-0.7184930962093317,2.423623343699392
23,University of Oxford,8,8.3,WORLD,proglan,UO,-0.3767148221198974,-0.7419732627521202,0.3652584406322228
24,KAIST,5,8.2,WORLD,proglan,K,-1.2689341376670222,-0.7654534292949091,-0.5034807083721131
25,Northeastern University,9,7.9,WORLD,proglan,NU,-0.07930838360418911,-0.8358939289232747,0.7565855453190856
26,Univ. of California - Los Angeles,6,7.4,WORLD,proglan,UCLA,-0.9715276991513139,-0.9532947616372179,-0.018232937514095937
27,University of Kent,9,7.1,WORLD,proglan,UK,-0.07930838360418911,-1.023735261265584,0.9444268776613948
28,Tel Aviv University,5,7.0,WORLD,proglan,TAU,-1.2689341376670222,-1.0472154278083725,-0.22171870985864972
28,University of Maryland - College Park,6,7.0,WORLD,proglan,UMCP,-0.9715276991513139,-1.0472154278083725,0.07568772865705864
30,Indiana University,5,6.8,WORLD,proglan,IU,-1.2689341376670222,-1.0941757608939497,-0.1747583767730725
