Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Tsinghua University,72,9.1,ASI,sys,TU,2.280930194754771,2.8617746619450286,-0.5808444671902575
2,National University of Singapore,47,7.7,ASI,sys,NUS,0.9376772305184887,2.1744419539847946,-1.236764723466306
3,Shanghai Jiao Tong University,82,7.3,ASI,sys,SJTU,2.818231380449284,1.9780611802818704,0.8401702001674136
4,Peking University,51,6.7,ASI,sys,PU,1.1525977047962939,1.683490019727485,-0.530892314931191
5,KAIST,45,6.5,ASI,sys,K,0.8302169933795862,1.585299632876023,-0.7550826394964367
6,Seoul National University,35,4.5,ASI,sys,SNU,0.29291580768507325,0.6033957643614031,-0.3104799566763298
7,Zhejiang University,58,3.9,ASI,sys,ZU,1.528708534782453,0.30882460380701704,1.219883930975436
8,HKUST,24,3.7,ASI,sys,H-2,-0.29811549657889097,0.21063421695555518,-0.5087497135344461
9,Nanyang Technological University,30,3.5,ASI,sys,NTU-2,0.02426521483781679,0.11244383010409312,-0.08817861526627632
10,Chinese Academy of Sciences,36,3.4,ASI,sys,CAS,0.34664592625452456,0.06334863667836207,0.2832972895761625
11,Chinese University of Hong Kong,25,3.3,ASI,sys,CUHK-2,-0.24438537800943969,0.014253443252631042,-0.2586388212620707
12,Nanjing University,59,3.2,ASI,sys,NU,1.5824386533519044,-0.034841750173099775,1.6172804035250041
13,HUST,25,2.7,ASI,sys,H,-0.24438537800943969,-0.28031771730175475,0.03593233929231507
14,City University of Hong Kong,14,2.4,ASI,sys,CUHK,-0.8354166822734039,-0.4276032975789478,-0.4078133846944561
15,Fudan University,35,2.2,ASI,sys,FU,0.29291580768507325,-0.5257936844304096,0.8187094921154829
15,IISc Bangalore,17,2.2,ASI,sys,IB,-0.67422632656505,-0.5257936844304096,-0.14843264213464036
15,Sungkyunkwan University,20,2.2,ASI,sys,SU,-0.5130359708566962,-0.5257936844304096,0.01275771357371347
18,Beihang University,20,2.1,ASI,sys,BU,-0.5130359708566962,-0.5748888778561407,0.06185290699944457
18,Hunan University,29,2.1,ASI,sys,HU,-0.029464903731634507,-0.5748888778561407,0.5454239741245063
18,Singapore Management University,20,2.1,ASI,sys,SMU,-0.5130359708566962,-0.5748888778561407,0.06185290699944457
21,National Taiwan University,19,2.0,ASI,sys,NTU,-0.5667660894261475,-0.6239840712818717,0.05721798185572424
21,University of Hong Kong,14,2.0,ASI,sys,UHK,-0.8354166822734039,-0.6239840712818717,-0.2114326109915322
21,Yonsei University,13,2.0,ASI,sys,YU,-0.8891468008428552,-0.6239840712818717,-0.2651627295609835
24,POSTECH,13,1.9,ASI,sys,P,-0.8891468008428552,-0.6730792647076028,-0.21606753613525242
24,Renmin University of China,20,1.9,ASI,sys,RUC,-0.5130359708566962,-0.6730792647076028,0.16004329385090665
24,SUSTech,13,1.9,ASI,sys,S,-0.8891468008428552,-0.6730792647076028,-0.21606753613525242
24,The Hong Kong Polytechnic University,9,1.9,ASI,sys,THKPU,-1.1040672751206604,-0.6730792647076028,-0.43098801041305757
24,USTC,19,1.9,ASI,sys,U-2,-0.5667660894261475,-0.6730792647076028,0.10631317528145534
29,National Chiao Tung University,19,1.7,ASI,sys,NCTU,-0.5667660894261475,-0.7712696515590648,0.20450356213291732
29,UNIST,11,1.7,ASI,sys,U,-0.9966070379817578,-0.7712696515590648,-0.22533738642269296
29,Xi'an Jiaotong University,22,1.7,ASI,sys,XJU,-0.40557573371779354,-0.7712696515590648,0.36569391784127125
