Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,UNSW,19,2.9,AUS,sys,U,2.4556220098306225,3.3174985772535117,-0.8618765674228892
2,University of Sydney,15,2.1,AUS,sys,US,1.6698229666848234,1.5990820480286716,0.07074091865615184
3,University of Technology Sydney,10,1.5,AUS,sys,UTS,0.6875741627525743,0.310269651110041,0.3773045116425333
4,Australian National University,11,1.4,AUS,sys,ANU,0.8840239235390241,0.09546758495693573,0.7885563385820884
4,Monash University,11,1.4,AUS,sys,MU-3,0.8840239235390241,0.09546758495693573,0.7885563385820884
4,University of Melbourne,10,1.4,AUS,sys,UM,0.6875741627525743,0.09546758495693573,0.5921065777956386
7,Macquarie University,6,1.3,AUS,sys,MU-2,-0.09822488039322491,-0.11933448119616906,0.021109600802944148
7,University of Adelaide,5,1.3,AUS,sys,UA-2,-0.29467464117967473,-0.11933448119616906,-0.17534015998350566
7,University of Auckland,5,1.3,AUS,sys,UA,-0.29467464117967473,-0.11933448119616906,-0.17534015998350566
10,RMIT University,5,1.2,AUS,sys,RU,-0.29467464117967473,-0.33413654734927434,0.0394619061695996
10,University of Queensland,5,1.2,AUS,sys,UQ,-0.29467464117967473,-0.33413654734927434,0.0394619061695996
10,University of Waikato,3,1.2,AUS,sys,UW-2,-0.6875741627525743,-0.33413654734927434,-0.3534376154033
13,Massey University,3,1.1,AUS,sys,MU,-0.6875741627525743,-0.5489386135023792,-0.13863554925019517
13,University of Otago,3,1.1,AUS,sys,UO,-0.6875741627525743,-0.5489386135023792,-0.13863554925019517
15,University of Canterbury,1,1.0,AUS,sys,UC,-1.0804736843254739,-0.7637406796554844,-0.31673300466998944
15,University of Western Australia,1,1.0,AUS,sys,UWA,-1.0804736843254739,-0.7637406796554844,-0.31673300466998944
15,University of Wollongong,2,1.0,AUS,sys,UW,-0.8840239235390241,-0.7637406796554844,-0.12028324388353973
15,Victoria University of Wellington,2,1.0,AUS,sys,VUW,-0.8840239235390241,-0.7637406796554844,-0.12028324388353973
