Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,University of Waterloo,48,4.9,CND,sys,UW,3.2947684103277965,3.157496688233986,0.13727172209381067
2,University of Toronto,37,4.3,CND,sys,UT,2.3752981562828297,2.587722849755672,-0.2124246934728422
3,University of British Columbia,26,3.0,CND,sys,UBC,1.4558279022378633,1.353212866385994,0.10261503585186937
4,Simon Fraser University,16,2.6,CND,sys,SFU,0.6199458531060759,0.9733636407337851,-0.35341778762770926
5,Concordia University,10,1.4,CND,sys,CU-2,0.11841662362700321,-0.1661840362228414,0.2846006598498446
6,Carleton University,8,1.3,CND,sys,CU,-0.04875978619935433,-0.2611463426358935,0.21238655643653914
6,McGill University,5,1.3,CND,sys,MU-2,-0.29952440093889066,-0.2611463426358935,-0.038378058302997176
6,University of Calgary,6,1.3,CND,sys,UC,-0.21593619602571187,-0.2611463426358935,0.045210146610181606
6,University of Victoria,8,1.3,CND,sys,UV,-0.04875978619935433,-0.2611463426358935,0.21238655643653914
6,York University,6,1.3,CND,sys,YU,-0.21593619602571187,-0.2611463426358935,0.045210146610181606
11,Dalhousie University,3,1.2,CND,sys,DU,-0.46670081076524816,-0.35610864904894574,-0.11059216171630243
11,Queen’s University,5,1.2,CND,sys,QU,-0.29952440093889066,-0.35610864904894574,0.05658424811005508
11,University of Guelph,4,1.2,CND,sys,UG,-0.3831126058520694,-0.35610864904894574,-0.027003956803123674
14,McMaster University,4,1.1,CND,sys,MU,-0.3831126058520694,-0.4510709554619978,0.06795834960992841
14,University of Alberta,6,1.1,CND,sys,UA,-0.21593619602571187,-0.4510709554619978,0.23513475943628595
14,University of Manitoba,3,1.1,CND,sys,UM-2,-0.46670081076524816,-0.4510709554619978,-0.01562985530325034
14,University of Montreal,3,1.1,CND,sys,UM,-0.46670081076524816,-0.4510709554619978,-0.01562985530325034
14,University of Saskatchewan,1,1.1,CND,sys,US,-0.6338772205916058,-0.4510709554619978,-0.18280626512960796
19,Ontario Tech University,1,1.0,CND,sys,OTU,-0.6338772205916058,-0.5460332618750501,-0.0878439587165557
19,Polytechnique Montreal,2,1.0,CND,sys,PM,-0.5502890156784269,-0.5460332618750501,-0.004255753803376838
19,University of Ottawa,1,1.0,CND,sys,UO,-0.6338772205916058,-0.5460332618750501,-0.0878439587165557
19,University of Regina,1,1.0,CND,sys,UR,-0.6338772205916058,-0.5460332618750501,-0.0878439587165557
19,Université du Québec à Montréal,1,1.0,CND,sys,UQM,-0.6338772205916058,-0.5460332618750501,-0.0878439587165557
19,Western University,1,1.0,CND,sys,WU,-0.6338772205916058,-0.5460332618750501,-0.0878439587165557
