Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,ETH Zurich,24,10.1,EURO,sys,EZ,0.6328350849583003,4.631405458399557,-3.998570373441257
2,EPFL,29,5.4,EURO,sys,E,1.2956015590700338,1.6962346219975761,-0.4006330629275423
3,Max Planck Society,27,4.4,EURO,sys,MPS,1.0304949694253405,1.0717301887205588,-0.04123521929521834
4,Imperial College London,26,3.2,EURO,sys,ICL,0.8979416746029938,0.322324868788138,0.5756168058148559
4,Technion,28,3.2,EURO,sys,T,1.1630482642476871,0.322324868788138,0.8407233954595492
4,University of Edinburgh,33,3.2,EURO,sys,UE,1.8258147383594208,0.322324868788138,1.5034898695712828
7,TU Darmstadt,18,2.9,EURO,sys,TD-4,-0.16248468397577992,0.1349735388050326,-0.2974582227808125
7,TU Delft,33,2.9,EURO,sys,TD-3,1.8258147383594208,0.1349735388050326,1.6908411995543882
7,TU Munich,23,2.9,EURO,sys,TM,0.5002817901359536,0.1349735388050326,0.36530825133092104
10,Tel Aviv University,13,2.8,EURO,sys,TAU,-0.8252511580875135,0.07252309547733081,-0.8977742535648443
10,University of Cambridge,27,2.8,EURO,sys,UC,1.0304949694253405,0.07252309547733081,0.9579718739480096
12,Saarland University,9,2.2,EURO,sys,SU,-1.3554643373769004,-0.30217956448887934,-1.053284772888021
12,Uppsala University,15,2.2,EURO,sys,UU,-0.5601445684428201,-0.30217956448887934,-0.2579650039539408
14,CISPA Helmholtz Center,28,2.1,EURO,sys,CHC,1.1630482642476871,-0.3646300078165811,1.5276782720642683
14,KTH Royal Institute of Technology,18,2.1,EURO,sys,KRIT,-0.16248468397577992,-0.3646300078165811,0.2021453238408012
14,Universidade de Lisboa,24,2.1,EURO,sys,UL,0.6328350849583003,-0.3646300078165811,0.9974650927748814
14,University College London,21,2.1,EURO,sys,UCL,0.2351752004912602,-0.3646300078165811,0.5998052083078413
14,VU Amsterdam,11,2.1,EURO,sys,VA,-1.0903577477322068,-0.3646300078165811,-0.7257277399156257
19,Aarhus University,16,2.0,EURO,sys,AU,-0.42759127362047333,-0.42708045114428295,-0.0005108224761903868
19,Chalmers/GU,25,2.0,EURO,sys,C,0.7653883797806471,-0.42708045114428295,1.19246883092493
19,TU Wien,18,2.0,EURO,sys,TW,-0.16248468397577992,-0.42708045114428295,0.264595767168503
19,University of Oxford,21,2.0,EURO,sys,UO,0.2351752004912602,-0.42708045114428295,0.6622556516355431
19,University of Stuttgart,11,2.0,EURO,sys,US,-1.0903577477322068,-0.42708045114428295,-0.6632772965879239
24,Politecnico di Milano,19,1.9,EURO,sys,PM,-0.02993138915343322,-0.4895308944719847,0.4595995053185515
24,TU Dortmund,9,1.9,EURO,sys,TD-2,-1.3554643373769004,-0.4895308944719847,-0.8659334429049157
24,TU Dresden,8,1.9,EURO,sys,TD,-1.488017632199247,-0.4895308944719847,-0.9984867377272624
27,IMDEA Software Institute,13,1.8,EURO,sys,ISI,-0.8252511580875135,-0.5519813377996864,-0.2732698202878271
27,KU Leuven,14,1.8,EURO,sys,KL,-0.6926978632651668,-0.5519813377996864,-0.1407165254654804
27,TU Berlin,8,1.8,EURO,sys,TB,-1.488017632199247,-0.5519813377996864,-0.9360362943995607
30,Hebrew University of Jerusalem,11,1.7,EURO,sys,HUJ,-1.0903577477322068,-0.6144317811273882,-0.4759259666048187
30,Ruhr-University Bochum,16,1.7,EURO,sys,RB,-0.42759127362047333,-0.6144317811273882,0.18684050750691483
