Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Univ. of Illinois at Urbana-Champaign,70,13.2,WORLD,sys,UIU,1.5675857572470604,2.7268969072631046,-1.1593111500160442
2,Carnegie Mellon University,83,12.9,WORLD,sys,CMU,2.398818731155699,2.5909175976784034,-0.19209886652270436
3,ETH Zurich,24,10.1,WORLD,sys,EZ,-1.3737001504296609,1.3217773748878536,-2.6954775253175143
4,Univ. of California - San Diego,61,9.9,WORLD,sys,UCSD,0.9921167753103106,1.231124501831386,-0.2390077265210755
5,University of Michigan,50,9.5,WORLD,sys,UM,0.2887657973876164,1.0498187557184504,-0.7610529583308341
6,Tsinghua University,72,9.1,WORLD,sys,TU,1.695467753233005,0.8685130096055146,0.8269547436274903
7,Massachusetts Institute of Technology,50,8.8,WORLD,sys,MIT,0.2887657973876164,0.7325337000208133,-0.44376790263319693
8,Georgia Institute of Technology,68,8.4,WORLD,sys,GIT,1.439703761261116,0.5512279539078775,0.8884758073532386
9,Univ. of California - Berkeley,50,8.3,WORLD,sys,UCB,0.2887657973876164,0.5059015173796437,-0.21713571999202735
10,National University of Singapore,47,7.7,WORLD,sys,NUS,0.09694280340869976,0.2339428982102401,-0.13700009480154035
11,Purdue University,44,7.3,WORLD,sys,PU-3,-0.09488019057021685,0.052637152097304324,-0.14751734266752117
11,Shanghai Jiao Tong University,82,7.3,WORLD,sys,SJTU,2.334877733162727,0.052637152097304324,2.2822405810654227
13,Univ. of California - Riverside,36,7.0,WORLD,sys,UCR,-0.6064081745139944,-0.0833421574873973,-0.5230660170265972
13,University of Wisconsin - Madison,42,7.0,WORLD,sys,UWM,-0.22276218655616126,-0.0833421574873973,-0.13942002906876394
15,Peking University,51,6.7,WORLD,sys,PU-2,0.3527067953805886,-0.21932146707209896,0.5720282624526876
16,KAIST,45,6.5,WORLD,sys,K,-0.030939192577244645,-0.30997434012856684,0.2790351475513222
16,University of Washington,37,6.5,WORLD,sys,UW-2,-0.5424671765210223,-0.30997434012856684,-0.23249283639245544
18,Northeastern University,42,6.4,WORLD,sys,NU,-0.22276218655616126,-0.3553007766568006,0.13253859010063934
18,University of Chicago,33,6.4,WORLD,sys,UC,-0.7982311684929111,-0.3553007766568006,-0.4429303918361105
20,University of Texas at Austin,30,6.2,WORLD,sys,UTA,-0.9900541624718276,-0.44595364971326845,-0.5441005127585592
21,Cornell University,39,6.1,WORLD,sys,CU-2,-0.41458518053507787,-0.4912800862415026,0.07669490570642473
22,EPFL,29,5.4,WORLD,sys,E,-1.0539951604648,-0.8085651419391396,-0.24543001852566027
23,Pennsylvania State University,39,5.3,WORLD,sys,PSU,-0.41458518053507787,-0.8538915784673737,0.43930639793229587
24,Stanford University,32,5.2,WORLD,sys,SU,-0.8621721664858832,-0.8992180149956075,0.037045848509724255
24,Univ. of California - Irvine,39,5.2,WORLD,sys,UCI,-0.41458518053507787,-0.8992180149956075,0.4846328344605296
24,University of Pennsylvania,34,5.2,WORLD,sys,UP,-0.7342901704999388,-0.8992180149956075,0.16492784449566866
27,Columbia University,33,5.1,WORLD,sys,CU,-0.7982311684929111,-0.9445444515238417,0.1463132830309306
27,North Carolina State University,39,5.1,WORLD,sys,NCSU,-0.41458518053507787,-0.9445444515238417,0.5299592709887638
27,University of Maryland - College Park,35,5.1,WORLD,sys,UMCP,-0.6703491725069667,-0.9445444515238417,0.274195279016875
30,Princeton University,26,4.9,WORLD,sys,PU,-1.2458181544437166,-1.0351973245803092,-0.21062082986340736
30,University of Waterloo,48,4.9,WORLD,sys,UW,0.16088380140167197,-1.0351973245803092,1.1960811259819812
