Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,University of Warsaw,25,14.9,EURO,the,UW-3,2.2083041162263064,2.030791450284928,0.1775126659413786
2,Tel Aviv University,23,13.9,EURO,the,TAU,1.810411482672017,1.751708795642015,0.05870268703000203
3,Max Planck Society,15,13.6,EURO,the,MPS,0.21884094845485913,1.667983999249141,-1.449143050794282
4,Hebrew University of Jerusalem,21,12.1,EURO,the,HUJ,1.4125188491177274,1.249360017284772,0.16315883183295532
5,CISPA Helmholtz Center,13,11.5,EURO,the,CHC,-0.1790516850994303,1.0819104244990245,-1.260962109598455
6,IST Austria,9,11.2,EURO,the,IA,-0.9748369522080093,0.9981856281061505,-1.9730225803141597
7,Aarhus University,17,11.1,EURO,the,AU,0.6167335820091485,0.9702773626418594,-0.35354378063271086
8,ETH Zurich,15,11.0,EURO,the,EZ,0.21884094845485913,0.9423690971775682,-0.7235281487227091
9,Technion,23,10.4,EURO,the,T,1.810411482672017,0.7749195043918207,1.0354919782801963
10,Weizmann Institute of Science,13,9.2,EURO,the,WIS,-0.1790516850994303,0.4400203188203252,-0.6190720039197555
11,EPFL,15,9.0,EURO,the,E,0.21884094845485913,0.3842037878917429,-0.1653628394368838
12,University of Oxford,23,8.9,EURO,the,UO,1.810411482672017,0.3562955224274517,1.4541159602445652
13,Ecole Normale Superieure de Lyon,16,8.5,EURO,the,ENSL,0.4177872652320038,0.24466246057028657,0.17312480466171726
14,University of Warwick,14,8.0,EURO,the,UW-2,0.0198946316777144,0.10512113324883025,-0.08522650157111586
15,Bar-Ilan University,11,7.4,EURO,the,BU,-0.5769443186537198,-0.062328459536917236,-0.5146158591168025
16,Ecole Normale Superieure,12,7.1,EURO,the,ENS,-0.37799800187657506,-0.14605325592979124,-0.23194474594678383
17,University of Edinburgh,12,6.9,EURO,the,UE,-0.37799800187657506,-0.20186978685837356,-0.1761282150182015
18,Ruhr-University Bochum,11,4.7,EURO,the,RB,-0.5769443186537198,-0.8158516270727815,0.23890730841906171
19,University of Liverpool,17,4.6,EURO,the,UL,0.6167335820091485,-0.8437598925370728,1.4604934745462215
20,University of Wroclaw,16,4.4,EURO,the,UW,0.4177872652320038,-0.8995764234656551,1.317363688697659
21,IT University of Copenhagen,10,4.3,EURO,the,IUC,-0.7758906354308645,-0.9274846889299466,0.15159405349908217
21,RWTH Aachen University,7,4.3,EURO,the,RAU,-1.3727295857622988,-0.9274846889299466,-0.44524489683235213
23,Radboud University,10,4.1,EURO,the,RU,-0.7758906354308645,-0.9833012198585291,0.2074105844276647
23,University of Haifa,10,4.1,EURO,the,UH,-0.7758906354308645,-0.9833012198585291,0.2074105844276647
25,University of Copenhagen,10,4.0,EURO,the,UC,-0.7758906354308645,-1.0112094853228204,0.23531884989195595
26,DTU,7,3.9,EURO,the,D,-1.3727295857622988,-1.0391177507871117,-0.3336118349751871
26,King's College London,7,3.9,EURO,the,KCL,-1.3727295857622988,-1.0391177507871117,-0.3336118349751871
26,TU Wien,13,3.9,EURO,the,TW,-0.1790516850994303,-1.0391177507871117,0.8600660656876813
26,University of Birmingham,13,3.9,EURO,the,UB-2,-0.1790516850994303,-1.0391177507871117,0.8600660656876813
26,University of Bristol,9,3.9,EURO,the,UB,-0.9748369522080093,-1.0391177507871117,0.0642807985791024
