Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,Carnegie Mellon University,28,21.5,USA,the,CMU,2.483130825366481,2.472569067306186,0.010561758060295023
2,Univ. of Illinois at Urbana-Champaign,20,17.3,USA,the,UIU,1.0401492319331749,1.5832065138360767,-0.5430572819029018
3,Univ. of California - Berkeley,22,16.4,USA,the,UCB,1.4008946302915015,1.392628823806767,0.008265806484734517
4,Massachusetts Institute of Technology,24,16.3,USA,the,MIT,1.7616400286498282,1.371453524914622,0.39018650373520614
5,University of Texas at Austin,15,14.8,USA,the,UTA,0.13828573603735866,1.05382404153244,-0.9155383054950814
6,University of Washington,17,14.6,USA,the,UW,0.4990311343956852,1.0114734437481487,-0.5124423093524635
7,Stanford University,19,13.8,USA,the,SU,0.8597765327540117,0.8420710526109854,0.01770548014302631
8,Cornell University,16,13.3,USA,the,CU-2,0.31865843521652193,0.736194558150258,-0.4175361229337361
9,New York University,18,13.2,USA,the,NYU,0.6794038335748485,0.7150192592581123,-0.03561542568326381
10,Northeastern University,13,12.0,USA,the,NU,-0.22245966232096787,0.4609156725523669,-0.6833753348733347
11,Univ. of California - Los Angeles,8,11.6,USA,the,UCLA,-1.1243231582167843,0.3762144769837849,-1.5005376352005693
12,University of Michigan,17,10.8,USA,the,UM,0.4990311343956852,0.20681208584662142,0.2922190485490638
13,Univ. of California - San Diego,18,10.4,USA,the,UCSD,0.6794038335748485,0.1221108902780395,0.557292943296809
14,University of Wisconsin - Madison,11,9.6,USA,the,UWM,-0.5832050606792945,-0.04729150085912436,-0.5359135598201701
15,Georgia Institute of Technology,14,9.3,USA,the,GIT,-0.042086963141804615,-0.11081739753556052,0.06873043439375591
15,Princeton University,15,9.3,USA,the,PU-2,0.13828573603735866,-0.11081739753556052,0.2491031335729192
17,Columbia University,17,8.8,USA,the,CU,0.4990311343956852,-0.21669389199628786,0.715725026391973
18,Purdue University,16,8.4,USA,the,PU,0.31865843521652193,-0.30139508756486977,0.6200535227813917
19,University of Pennsylvania,18,8.0,USA,the,UP,0.6794038335748485,-0.38609628313345173,1.0655001167083002
20,Yale University,12,7.5,USA,the,YU,-0.40283236150013113,-0.491972777594179,0.08914041609404788
21,Univ. of California - Santa Barbara,6,6.0,USA,the,UCSB,-1.4850685565751107,-0.809602260976361,-0.6754662955987497
22,University of Maryland - College Park,12,5.6,USA,the,UMCP,-0.40283236150013113,-0.8943034565449429,0.4914710950448118
23,Boston University,10,5.5,USA,the,BU,-0.7635777598584577,-0.9154787554370883,0.15190099557863068
23,Johns Hopkins University,5,5.5,USA,the,JHU,-1.665441255754274,-0.9154787554370883,-0.7499625003171856
25,Stony Brook University,7,5.2,USA,the,SBU,-1.3046958573959475,-0.9790046521135247,-0.3256912052824228
26,University of Southern California,10,4.2,USA,the,USC,-0.7635777598584577,-1.1907576410349794,0.4271798811765217
27,Rutgers University,13,4.1,USA,the,RU,-0.22245966232096787,-1.2119329399271248,0.989473277606157
28,Georgetown University,5,3.9,USA,the,GU,-1.665441255754274,-1.2542835377114157,-0.4111577180428583
28,Harvard University,11,3.9,USA,the,HU,-0.5832050606792945,-1.2542835377114157,0.6710784770321212
28,University of Chicago,10,3.9,USA,the,UC,-0.7635777598584577,-1.2542835377114157,0.490705777852958
