rank,institution
1,University of Toronto
2,University of Waterloo
3,University of Alberta
4,University of British Columbia
5,University of Montreal
6,Simon Fraser University
7,McGill University
8,York University
9,Carleton University
9,University of Ottawa
11,Université Laval
12,ETS Montreal
13,Concordia University
14,University of Guelph
15,Dalhousie University
15,Queen’s University
17,University of Manitoba
18,Western University
19,McMaster University
19,Polytechnique Montreal
19,University of Victoria
19,Université du Québec à Montréal
23,University of Regina
24,Toronto Metropolitan University
24,Université de Sherbrooke
26,University of New Brunswick
27,University of Calgary
28,Brock University
29,University of Saskatchewan
