rank,institution
1,University of Toronto
2,University of Waterloo
3,University of British Columbia
4,Simon Fraser University
5,McGill University
6,University of Alberta
7,University of Montreal
8,Carleton University
8,University of Victoria
10,York University
11,University of Calgary
12,Concordia University
12,University of Guelph
12,University of Manitoba
12,University of Ottawa
12,Université Laval
17,Dalhousie University
17,Queen’s University
19,ETS Montreal
19,Université de Sherbrooke
21,McMaster University
21,Memorial University of Newfoundland
21,Polytechnique Montreal
21,Toronto Metropolitan University
21,University of New Brunswick
21,University of Regina
21,University of Saskatchewan
21,Université du Québec à Montréal
21,Western University
30,Brock University
30,Ontario Tech University
30,University of Windsor
