rank,institution
1,University of Toronto
2,University of Waterloo
3,Simon Fraser University
4,University of British Columbia
5,McGill University
6,University of Victoria
7,University of Calgary
8,University of Montreal
9,Carleton University
9,University of Alberta
9,University of Manitoba
12,University of Guelph
12,University of Saskatchewan
14,Université Laval
15,Dalhousie University
15,Queen’s University
17,York University
18,Memorial University of Newfoundland
18,University of New Brunswick
18,University of Ottawa
18,Université de Sherbrooke
18,Université du Québec à Montréal
23,Concordia University
23,McMaster University
23,Polytechnique Montreal
26,Brock University
26,Toronto Metropolitan University
