rank,institution
1,ETH Zurich
2,University College London
3,TU Munich
4,Max Planck Society
5,Tel Aviv University
6,University of Edinburgh
7,University of Bonn
8,TU Delft
9,Karlsruhe Institute of Technology
10,Aalto University
10,TU Berlin
12,Graz University of Technology
12,RWTH Aachen University
14,EPFL
14,University of Oxford
16,Aarhus University
17,CRIStAL
17,Saarland University
17,Technion
17,Universidade de Lisboa
21,University of Bristol
22,TU Darmstadt
22,TU Wien
22,University of Bath
22,University of Bremen
22,University of Cambridge
22,University of Glasgow
28,Sapienza University of Rome
28,University of Stuttgart
28,University of Tübingen
28,University of Zurich
