rank,institution
1,Carnegie Mellon University
2,Univ. of Illinois at Urbana-Champaign
3,Univ. of California - San Diego
4,Georgia Institute of Technology
5,Massachusetts Institute of Technology
6,Univ. of California - Berkeley
7,University of Michigan
8,University of Washington
9,Stanford University
10,Cornell University
11,University of Maryland - College Park
12,Northeastern University
13,University of Wisconsin - Madison
14,Purdue University
14,University of Texas at Austin
16,University of Pennsylvania
17,Columbia University
18,Princeton University
19,New York University
20,University of Massachusetts Amherst
21,University of Southern California
22,University of Chicago
23,Stony Brook University
23,Univ. of California - Los Angeles
25,Univ. of California - Irvine
26,Duke University
26,Rutgers University
26,Univ. of California - Santa Barbara
29,Univ. of California - Riverside
30,Pennsylvania State University
