rank,institution
1,Massachusetts Institute of Technology
2,Univ. of California - Berkeley
3,Carnegie Mellon University
4,Princeton University
5,University of Washington
6,Stanford University
7,Univ. of California - San Diego
8,Univ. of Illinois at Urbana-Champaign
9,University of Southern California
10,Cornell University
11,University of Texas at Austin
12,Univ. of California - Los Angeles
13,Harvard University
14,University of Michigan
15,University of Pennsylvania
16,University of Massachusetts Amherst
17,New York University
17,University of Chicago
19,University of Maryland - College Park
20,Rice University
21,University of Wisconsin - Madison
22,Yale University
23,Duke University
24,Georgia Institute of Technology
24,Stony Brook University
26,University of Virginia
27,Purdue University
28,Columbia University
28,Ohio State University
30,University of Minnesota
