rank,institution
1,Carnegie Mellon University
2,Univ. of Illinois at Urbana-Champaign
3,Univ. of California - Berkeley
4,Massachusetts Institute of Technology
5,University of Texas at Austin
6,University of Washington
7,Stanford University
8,Cornell University
9,New York University
10,Northeastern University
11,Univ. of California - Los Angeles
12,University of Michigan
13,Univ. of California - San Diego
14,University of Wisconsin - Madison
15,Georgia Institute of Technology
15,Princeton University
17,Columbia University
18,Purdue University
19,University of Pennsylvania
20,Yale University
21,Univ. of California - Santa Barbara
22,University of Maryland - College Park
23,Boston University
23,Johns Hopkins University
25,Stony Brook University
26,University of Southern California
27,Rutgers University
28,Georgetown University
28,Harvard University
28,University of Chicago
