rank,institution
1,Carnegie Mellon University
2,Univ. of Illinois at Urbana-Champaign
3,Univ. of California - San Diego
4,Tsinghua University
5,Georgia Institute of Technology
6,Massachusetts Institute of Technology
7,Univ. of California - Berkeley
8,University of Michigan
9,ETH Zurich
10,University of Washington
11,Stanford University
12,Cornell University
13,University of Maryland - College Park
14,Peking University
15,University of Toronto
16,National University of Singapore
16,Northeastern University
18,Shanghai Jiao Tong University
19,KAIST
19,University of Wisconsin - Madison
21,Purdue University
21,University of Texas at Austin
23,University of Pennsylvania
24,Columbia University
25,University of Waterloo
26,Princeton University
27,Max Planck Society
28,New York University
29,EPFL
30,University of Massachusetts Amherst
