rank,institution
1,Univ. of Illinois at Urbana-Champaign
2,University of Michigan
3,Georgia Institute of Technology
4,Massachusetts Institute of Technology
5,Pennsylvania State University
6,University of Wisconsin - Madison
7,Purdue University
8,KAIST
9,University of Toronto
10,Carnegie Mellon University
11,Princeton University
12,North Carolina State University
13,Shanghai Jiao Tong University
14,Univ. of California - San Diego
15,University of Chicago
16,Univ. of California - Riverside
17,ETH Zurich
18,Stanford University
19,Seoul National University
20,Cornell University
21,Univ. of California - Santa Barbara
22,University of Virginia
23,Yale University
24,Technion
25,EPFL
26,University of British Columbia
26,Uppsala University
28,University of Rochester
28,University of Washington
30,University of Pennsylvania
