rank,institution
1,Northeastern University
2,Univ. of California - San Diego
3,Georgia Institute of Technology
4,Carnegie Mellon University
5,University of Massachusetts Amherst
6,TU Delft
7,Pennsylvania State University
8,Massachusetts Institute of Technology
9,University of Michigan
10,Columbia University
11,Ohio State University
12,Univ. of Illinois at Urbana-Champaign
13,California Institute of Technology
13,Max Planck Society
15,Stony Brook University
15,Univ. of California - Riverside
17,University of Southern California
17,University of Wisconsin - Madison
19,University of Chicago
20,IMDEA Networks Institute
20,Tsinghua University
22,University of Maryland - College Park
23,University of Washington
24,ETH Zurich
25,EPFL
26,Princeton University
27,Northwestern University
27,University of Waikato
29,KAIST
30,Purdue University
