Rank,University,Faculty Count,Publication Count,field,location,lat,lon
1,Tsinghua University,98,86.1,ai,"清华大学, 30, 双清路, 五道口, 清华园街道, 东升镇, 海淀区, 北京市, 100084, 中国",40.002290450000004,116.3209629696906
2,Carnegie Mellon University,102,85.4,ai,"Carnegie Mellon University, Zebina Way, Bellefield, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",40.444189699999995,-79.94271918393466
3,Peking University,117,77.4,ai,"北京大学, 5号, 颐和园路, 燕园街道, 海淀镇, 海淀区, 北京市, 100871, 中国",39.99171495,116.30393496863539
4,Chinese Academy of Sciences,54,53.9,ai,"中国科学院, 52, 三里河路, 月坛街道, 北京市, 西城区, 北京市, 100824, 中国",39.90933665,116.32971461228999
5,Shanghai Jiao Tong University,110,51.4,ai,"上海交通大学（徐汇校区）, 康平路, 天平路街道, 徐汇区, 上海市, 200030, 中国",31.200891149999997,121.4283949471511
6,Univ. of Illinois at Urbana-Champaign,64,46.8,ai,"Atkins Golf Club at the University of Illinois, 2600, South Stone Creek Boulevard, Mira, Urbana, Champaign County, Illinois, 61802, United States",40.090629199999995,-88.17641799034426
7,Zhejiang University,84,45.6,ai,"浙江大学（海宁校区）, 718号, 海州东路, 鹃湖科技城, 硖石街道, 海宁市, 嘉兴市, 浙江省, 314400, 中国",30.521595,120.7195312
8,Cornell University,49,43.7,ai,"Cornell University, City of Ithaca, Town of Dryden, Tompkins County, New York, 14850, United States",42.4529076,-76.48008423030923
9,Nanyang Technological University,46,40.3,ai,"Nanyang Technological University, 50, Nanyang Avenue, Western Water Catchment, Singapore, Southwest, 639798, Singapore",1.3484104000000001,103.68293320728537
10,KAIST,58,39.5,ai,"카이스트안경, 명동8나길, 충무로1가, 명동, 중구, 서울특별시, 04536, 대한민국",37.5612302,126.9832396
11,National University of Singapore,49,39.1,ai,"National University of Singapore, Clementi Road, Clementi, Southwest, 119246, Singapore",1.2962018,103.77689765953073
12,Stanford University,54,38.4,ai,"Stanford University, 408, Panama Mall, Stanford, Santa Clara County, California, 94305, United States",37.431313849999995,-122.16936535498309
13,Nanjing University,69,37.3,ai,"南京大学(鼓楼校区), 金大路, 湖南路街道, 鼓楼区, 南京市, 江苏省, 210093, 中国",32.0565957,118.77408832807794
14,University of Maryland - College Park,51,36.7,ai,"University of Maryland, College Park, Baltimore Avenue, University Park, Prince George's County, Maryland, 20742, United States",38.990412449999994,-76.9438585924238
15,Univ. of California - San Diego,68,36.6,ai,"University of California, San Diego, 9500, Gilman Drive, San Diego, San Diego County, California, 92093, United States",32.87924375,-117.23112468377349
16,Harbin Institute of Technology,77,36.0,ai,"哈尔滨工业大学, 汉阳街, 通达街道, 南岗区, 哈尔滨市, 黑龙江省, 150000, 中国",45.741589,126.62556263488914
17,HKUST,41,33.1,ai,"香港科技大學 HKUST, 大學道 University Road, 碧水新村 Pik Shui San Tsuen, 大埔仔 Tai Po Tsai, 西貢區 Sai Kung District, 新界 New Territories, 香港 Hong Kong, 中国",22.3387645,114.2619042
17,Renmin University of China,48,33.1,ai,"中国人民大学, 万泉河路, 万泉庄北社区, 海淀街道, 海淀镇, 海淀区, 北京市, 100872, 中国",39.96976785,116.30709330596794
19,Georgia Institute of Technology,84,32.3,ai,"Georgia Tech, Ferst Drive Northwest, Atlanta, Fulton County, Georgia, 30332, United States",33.776094799999996,-84.3988076699857
20,Univ. of California - Berkeley,62,32.2,ai,"University of California, Berkeley, Haste Street, Downtown Berkeley, Berkeley, Alameda County, California, 94703, United States",37.875499649999995,-122.23906851395179
21,MBZUAI,34,31.7,ai,,24.4326,54.6185
22,Fudan University,56,31.6,ai,"复旦大学, 220, 邯郸路, 五角场街道, 杨浦区, 上海市, 200433, 中国",31.30116485,121.49808756382322
23,University of Massachusetts Amherst,41,31.4,ai,"University of Massachusetts Amherst, North Hadley Road, Hadley, Hampshire County, Massachusetts, 01003, United States",42.3869382,-72.52991477067445
23,University of Michigan,54,31.4,ai,"University of Michigan, 500, South State Street, Ann Arbor, Washtenaw County, Michigan, 48109, United States",42.2942142,-83.71003893509601
25,Chinese University of Hong Kong,36,30.1,ai,"香港中文大學 Chinese University of Hong Kong, 車站路 Station Road, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国",22.4140914,114.2100208
26,Univ. of California - Los Angeles,26,29.9,ai,"University of California, Los Angeles, Bellagio Way, Bel Air, Westwood, Los Angeles, Los Angeles County, California, 90095, United States",34.070877749999994,-118.44685070595054
26,University of Washington,48,29.9,ai,"University of Washington, Yesler Swamp Trail, Seattle, King County, Washington, 98105, United States",47.655622750000006,-122.30272238357196
28,Massachusetts Institute of Technology,65,29.2,ai,"Massachusetts Institute of Technology, Bishop Allen Drive, Central Square, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02139, United States",42.3582529,-71.0966272383055
29,Technion,50,28.6,ai,"טכניון, דוד רוז, קרית הטכניון, רובע רמות נווה שאנן, חיפה, נפת חיפה, מחוז חיפה, 3200003, ישראל",32.774576,35.0236399
30,ETH Zurich,32,25.9,ai,"ETH Zürich, 130, Binzmühlestrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",47.413218,8.5374914
