Rank,University,Faculty Count,Publication Count,field,location,lat,lon
1,Univ. of Illinois at Urbana-Champaign,23,44.5,arch,"Atkins Golf Club at the University of Illinois, 2600, South Stone Creek Boulevard, Mira, Urbana, Champaign County, Illinois, 61802, United States",40.090629199999995,-88.17641799034426
2,University of Michigan,23,42.5,arch,"University of Michigan, 500, South State Street, Ann Arbor, Washtenaw County, Michigan, 48109, United States",42.2942142,-83.71003893509601
3,Georgia Institute of Technology,15,26.5,arch,"Georgia Tech, Ferst Drive Northwest, Atlanta, Fulton County, Georgia, 30332, United States",33.776094799999996,-84.3988076699857
4,Massachusetts Institute of Technology,13,26.3,arch,"Massachusetts Institute of Technology, Bishop Allen Drive, Central Square, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02139, United States",42.3582529,-71.0966272383055
5,Pennsylvania State University,16,21.7,arch,"Touro College, 320, West 31st Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10001, United States",40.7505364,-73.995675
6,University of Wisconsin - Madison,13,19.6,arch,"University of Wisconsin-Madison, South Allen Street, Regent, Madison, Dane County, Wisconsin, 53726, United States",43.080274450000005,-89.43095871991434
7,Purdue University,12,19.5,arch,"Purdue University, 610, West Lafayette, Tippecanoe County, Indiana, 47907, United States",40.430028,-86.92642114650494
8,KAIST,10,18.3,arch,"카이스트안경, 명동8나길, 충무로1가, 명동, 중구, 서울특별시, 04536, 대한민국",37.5612302,126.9832396
9,University of Toronto,12,18.0,arch,"University of Toronto, Harbord Street, Harbord Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1G4, Canada",43.663461999999996,-79.39775966248058
10,Carnegie Mellon University,17,17.7,arch,"Carnegie Mellon University, Zebina Way, Bellefield, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",40.444189699999995,-79.94271918393466
11,Princeton University,8,17.6,arch,"Princeton University, Alexander Road, Princeton, Mercer County, New Jersey, 08540, United States",40.33867515,-74.65836549131683
12,North Carolina State University,10,16.3,arch,"North Carolina State University (Centennial Campus), Oval Drive, Raleigh, Wake County, North Carolina, 27695, United States",35.7714749,-78.6741935
13,Shanghai Jiao Tong University,22,16.1,arch,"上海交通大学（徐汇校区）, 康平路, 天平路街道, 徐汇区, 上海市, 200030, 中国",31.200891149999997,121.4283949471511
14,Univ. of California - San Diego,15,16.0,arch,"University of California, San Diego, 9500, Gilman Drive, San Diego, San Diego County, California, 92093, United States",32.87924375,-117.23112468377349
15,University of Chicago,9,15.7,arch,"The University of Chicago, 5801, South Ellis Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",41.79139685,-87.60084387193544
16,Univ. of California - Riverside,9,15.6,arch,"University of California, Riverside, 900, University Avenue, Riverside, Riverside County, California, 92521, United States",33.9642567,-117.3397858271953
17,ETH Zurich,8,14.9,arch,"ETH Zürich, 130, Binzmühlestrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",47.413218,8.5374914
18,Stanford University,15,14.8,arch,"Stanford University, 408, Panama Mall, Stanford, Santa Clara County, California, 94305, United States",37.431313849999995,-122.16936535498309
19,Seoul National University,9,14.4,arch,"서울대학교, 신림로, 녹두거리, 대학동, 관악구, 서울특별시, 08841, 대한민국",37.46691,126.94771
20,Cornell University,11,13.7,arch,"Cornell University, City of Ithaca, Town of Dryden, Tompkins County, New York, 14850, United States",42.4529076,-76.48008423030923
21,Univ. of California - Santa Barbara,6,13.3,arch,"University of California, Santa Barbara, 552, Sierra Madre Court, Isla Vista, Santa Barbara County, California, 93106, United States",34.414602450000004,-119.84581004701371
22,University of Virginia,7,12.8,arch,"University of Virginia, Kirtley Ln, Farmington, Albemarle County, Virginia, 22904, United States",38.0410576,-78.50550841214823
23,Yale University,9,12.6,arch,"Yale University, West Haven, South Central Connecticut Planning Region, Connecticut, 06516, United States",41.25713055,-72.98966960152231
24,Technion,11,12.0,arch,"טכניון, דוד רוז, קרית הטכניון, רובע רמות נווה שאנן, חיפה, נפת חיפה, מחוז חיפה, 3200003, ישראל",32.774576,35.0236399
25,EPFL,13,11.9,arch,"École Polytechnique Fédérale de Lausanne, Route Louis-Favre, Ecublens, District de l'Ouest lausannois, Vaud, 1024, Schweiz/Suisse/Svizzera/Svizra",46.518659400000004,6.566561505148001
26,University of British Columbia,6,10.5,arch,"University of British Columbia, Electoral Area A, Metro Vancouver Regional District, British Columbia, Canada",49.25783145,-123.24624198622213
26,Uppsala University,4,10.5,arch,"Uppsala Universitet Gamla Torget, Gamla torget, Höganäs, Centrum, Uppsala, Uppsala kommun, Uppsala län, 754 20, Sverige",59.8593087,17.6366551
28,University of Rochester,8,10.3,arch,"University of Rochester, Genesee Valley Park, City of Rochester, Monroe County, New York, 14627, United States",43.1226985,-77.6307297
28,University of Washington,10,10.3,arch,"University of Washington, Yesler Swamp Trail, Seattle, King County, Washington, 98105, United States",47.655622750000006,-122.30272238357196
30,University of Pennsylvania,7,10.2,arch,"University of Pennsylvania, South 33rd Street, University City, Philadelphia, Pennsylvania, 19104, United States",39.9493382,-75.1896439962691
