Rank,University,Faculty Count,Publication Count,field,location,lat,lon
1,Carnegie Mellon University,28,21.5,the,"Carnegie Mellon University, Zebina Way, Bellefield, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",40.444189699999995,-79.94271918393466
2,Univ. of Illinois at Urbana-Champaign,20,17.3,the,"Atkins Golf Club at the University of Illinois, 2600, South Stone Creek Boulevard, Mira, Urbana, Champaign County, Illinois, 61802, United States",40.090629199999995,-88.17641799034426
3,Univ. of California - Berkeley,22,16.4,the,"University of California, Berkeley, Haste Street, Downtown Berkeley, Berkeley, Alameda County, California, 94703, United States",37.875499649999995,-122.23906851395179
4,Massachusetts Institute of Technology,24,16.3,the,"Massachusetts Institute of Technology, Bishop Allen Drive, Central Square, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02139, United States",42.3582529,-71.0966272383055
5,University of Warsaw,25,14.9,the,"Szkoła Główna Handlowa, 162, Aleja Niepodległości, Osiedle Batorego, Stary Mokotów, Mokotów, Warszawa, województwo mazowieckie, 02-554, Polska",52.209142549999996,21.00948486904928
6,University of Texas at Austin,15,14.8,the,"University of Texas at Austin, 1, Allandale, Austin, Travis County, Texas, 78712, United States",30.2851494,-97.73393515146053
7,University of Washington,17,14.6,the,"University of Washington, Yesler Swamp Trail, Seattle, King County, Washington, 98105, United States",47.655622750000006,-122.30272238357196
8,Tel Aviv University,23,13.9,the,"תל אביב אוניברסיטה, איילון דרום, תל אביב - יפו, אוניברסיטת ת""א, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 5253527, ישראל",32.1037064,34.8046101
9,Stanford University,19,13.8,the,"Stanford University, 408, Panama Mall, Stanford, Santa Clara County, California, 94305, United States",37.431313849999995,-122.16936535498309
10,Max Planck Society,15,13.6,the,"SKA-MPI (Max Planck Society Precursor), Kareeberg Ward 4, Kareeberg Local Municipality, Pixley ka Seme District Municipality, Northern Cape, South Africa",-30.7179881,21.4130525
11,Cornell University,16,13.3,the,"Cornell University, City of Ithaca, Town of Dryden, Tompkins County, New York, 14850, United States",42.4529076,-76.48008423030923
12,New York University,18,13.2,the,"New York University, West 8th Street, Washington Square Village, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10011, United States",40.72914525,-73.99507565085935
13,University of Toronto,15,12.9,the,"University of Toronto, Harbord Street, Harbord Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1G4, Canada",43.663461999999996,-79.39775966248058
14,Hebrew University of Jerusalem,21,12.1,the,"האוניברסיטה העברית בירושלים, Reagan Plaza, הר הצופים, ירושלים, נפת ירושלים, מחוז ירושלים, 9711769, ישראל",31.7918555,35.244723
