Rank,University,Faculty Count,Publication Count
1,HKUST,16,42.9
2,National University of Singapore,20,40.1
3,Tsinghua University,25,39.8
4,Chinese University of Hong Kong,11,37.5
5,Nanyang Technological University,13,23.8
6,Peking University,13,23.0
7,Zhejiang University,23,22.1
8,Renmin University of China,13,15.1
9,Hong Kong Baptist University,5,14.5
10,Singapore Management University,7,9.9
11,Shanghai Jiao Tong University,15,8.3
12,Fudan University,13,8.2
13,UESTC,9,8.1
14,Beihang University,7,7.7
15,Seoul National University,10,7.4
16,University of Hong Kong,6,7.2
17,KAIST,9,7.0
18,HUST,11,6.7
19,Harbin Institute of Technology,10,6.0
20,CUHK (SZ),2,5.9
21,POSTECH,2,5.6
22,IIT Delhi,5,5.5
23,Wuhan University,4,5.4
24,BUPT,5,5.3
24,Chinese Academy of Sciences,6,5.3
26,Sungkyunkwan University,3,4.9
27,SUSTech,3,4.6
28,Hanyang University,3,4.4
28,Osaka University,4,4.4
30,Qatar Computing Research Institute,3,4.2
30,Shenzhen University,3,4.2
30,University of Macau,2,4.2
