Rank,University,Faculty Count,Publication Count
1,Shanghai Jiao Tong University,19,10.1
2,Tsinghua University,8,9.3
3,HUST,12,8.7
4,National Cheng Kung University,13,8.5
5,National University of Singapore,5,6.3
6,National Chiao Tung University,12,5.6
7,Tokyo Institute of Technology,3,4.2
7,University of Macau,3,4.2
9,Peking University,8,4.1
10,IISc Bangalore,2,3.8
11,National Taiwan University,8,3.6
11,University of Tokyo,2,3.6
13,Seoul National University,7,3.4
14,KAIST,4,3.3
15,Chinese Academy of Sciences,7,2.8
16,IIT Madras,2,2.6
17,Hong Kong Baptist University,2,2.5
18,Beihang University,1,2.4
18,KAUST,3,2.4
20,Nanyang Technological University,5,2.2
20,Qatar Computing Research Institute,1,2.2
22,National Institute of Informatics,1,2.1
23,HKUST,3,2.0
24,Renmin University of China,4,1.9
25,IIT Kanpur,2,1.8
25,Xi'an Jiaotong University,3,1.8
25,Xiamen University,4,1.8
28,American University of Beirut,2,1.7
28,POSTECH,3,1.7
28,UESTC,2,1.7
28,USTC,3,1.7
28,University of Hong Kong,1,1.7
28,Wuhan University,1,1.7
