Rank,University,Faculty Count,Publication Count
1,Tsinghua University,17,5.7
2,KAIST,6,4.4
3,National University of Singapore,5,3.9
4,Peking University,9,3.1
5,LUMS,4,2.9
6,Shanghai Jiao Tong University,4,2.7
6,University of Hong Kong,3,2.7
8,Seoul National University,5,2.4
9,National Institute of Informatics,1,2.3
9,Sharif University of Technology,2,2.3
11,The Hong Kong Polytechnic University,2,2.1
12,Chinese University of Hong Kong,2,2.0
12,HUST,1,2.0
14,Zhejiang University,3,1.9
15,BITS Pilani-Goa,1,1.8
15,City University of Hong Kong,3,1.8
17,Nanyang Technological University,1,1.7
18,IIIT Delhi,3,1.6
18,Nanjing University,3,1.6
18,SUTD,1,1.6
18,Tata Inst. of Fundamental Research,1,1.6
18,USTC,2,1.6
23,Fudan University,4,1.5
23,IISc Bangalore,2,1.5
23,Kyungpook National University,2,1.5
23,NYU Shanghai,1,1.5
23,POSTECH,1,1.5
28,IIT Bombay,2,1.4
29,HKUST,2,1.3
29,Hunan University,1,1.3
29,IIT Delhi,2,1.3
29,National Taiwan University,1,1.3
29,Soochow University,1,1.3
29,Sungkyunkwan University,2,1.3
