Rank,University,Faculty Count,Publication Count
1,Peking University,11,10.2
2,Tsinghua University,23,9.1
3,KAIST,5,5.6
4,HKUST,2,3.8
4,National University of Singapore,5,3.8
4,Shanghai Jiao Tong University,15,3.8
7,Xi'an Jiaotong University,3,2.9
8,KAUST,3,2.7
8,Nanjing University,6,2.7
10,LUMS,2,2.3
11,USTC,5,2.1
11,University of Hong Kong,3,2.1
13,Chinese University of Hong Kong,3,2.0
14,BUPT,4,1.9
15,VISTEC,1,1.8
16,Chinese Academy of Sciences,1,1.6
16,City University of Hong Kong,3,1.6
16,Seoul National University,2,1.6
16,Xiamen University,3,1.6
16,Zhejiang University,6,1.6
21,IIT Hyderabad,1,1.5
21,University of Tsukuba,1,1.5
23,Beihang University,2,1.3
23,IIT Madras,1,1.3
23,National Chiao Tung University,2,1.3
23,Renmin University of China,1,1.3
27,Hanyang University,1,1.2
27,Hunan University,1,1.2
27,SUTD,1,1.2
30,Fudan University,1,1.1
30,IISc Bangalore,1,1.1
30,IIT Gandhinagar,1,1.1
30,NWPU,1,1.1
30,Nanyang Technological University,1,1.1
30,Qatar Computing Research Institute,1,1.1
30,SUSTech,1,1.1
30,TeIAS,1,1.1
30,The Hong Kong Polytechnic University,1,1.1
30,UESTC,1,1.1
30,UNIST,1,1.1
30,Wuhan University,1,1.1
