Rank,University,Faculty Count,Publication Count
1,Shanghai Jiao Tong University,15,12.5
2,Tsinghua University,11,6.2
3,Peking University,4,3.5
4,National University of Singapore,2,2.8
5,Seoul National University,4,2.5
6,KAIST,5,2.4
7,Sungkyunkwan University,3,2.1
8,IIT Delhi,2,2.0
9,Nanjing University,5,1.9
10,Fudan University,3,1.8
11,University of Hong Kong,4,1.7
12,Chinese Academy of Sciences,3,1.6
12,Qatar Computing Research Institute,1,1.6
14,Chinese University of Hong Kong,2,1.5
14,IIIT Delhi,1,1.5
14,IISc Bangalore,1,1.5
17,National Taiwan University,1,1.4
17,USTC,3,1.4
19,HKUST,2,1.3
19,HUST,1,1.3
19,IIT Hyderabad,1,1.3
19,MBZUAI,2,1.3
23,Beihang University,1,1.2
23,CUHK (SZ),1,1.2
23,KAUST,1,1.2
26,City University of Hong Kong,1,1.1
26,Nanyang Technological University,1,1.1
26,Renmin University of China,1,1.1
26,SUSTech,1,1.1
26,Sun Yat-sen University,1,1.1
26,UNIST,1,1.1
26,Zhejiang University,1,1.1
