Rank,University,Faculty Count,Publication Count
1,National University of Singapore,17,7.7
2,Shanghai Jiao Tong University,17,7.0
3,Tsinghua University,9,6.1
4,National Institute of Informatics,7,5.8
5,IISc Bangalore,9,4.3
5,Tata Inst. of Fundamental Research,14,4.3
7,IIT Bombay,8,3.9
7,Nanjing University,9,3.9
9,University of Hong Kong,5,3.2
10,Peking University,6,3.1
11,IIT Madras,4,3.0
12,SUFE,7,2.9
13,UESTC,3,2.8
14,HKUST,5,2.7
15,University of Tokyo,4,2.6
16,IMSc,5,2.5
16,Nanyang Technological University,5,2.5
18,Chinese University of Hong Kong,4,2.3
18,IIT Kanpur,4,2.3
20,CMI,6,2.2
21,IIT Delhi,3,2.0
22,Chinese Academy of Sciences,4,1.9
23,KAIST,3,1.8
23,NYU Shanghai,1,1.8
23,Seoul National University,2,1.8
23,Singapore Management University,3,1.8
27,ISI Kolkata,2,1.7
27,Renmin University of China,3,1.7
29,POSTECH,3,1.6
30,East China Normal University,5,1.5
30,IIT Hyderabad,2,1.5
30,IIT Kharagpur,4,1.5
30,Tokyo Institute of Technology,2,1.5
30,USTC,2,1.5
