Rank,University,Faculty Count,Publication Count
1,University of Sydney,20,18.7
2,University of Melbourne,30,16.2
3,Monash University,31,13.5
4,Australian National University,26,10.3
5,University of Adelaide,17,9.2
6,University of Technology Sydney,24,9.0
7,UNSW,26,5.6
8,Macquarie University,17,5.1
9,RMIT University,25,4.9
10,University of Queensland,11,3.7
11,University of Western Australia,6,2.5
12,University of Wollongong,6,2.4
13,University of Auckland,9,2.1
14,Queensland University of Technology,5,1.6
14,Victoria University of Wellington,7,1.6
16,University of Waikato,4,1.4
17,Massey University,1,1.1
17,University of Canterbury,1,1.1
17,University of Otago,2,1.1
