Rank,University,Faculty Count,Publication Count
1,University of Sydney,31,3.3
2,Monash University,50,2.7
2,UNSW,39,2.7
4,University of Melbourne,46,2.6
5,Australian National University,39,2.2
6,University of Adelaide,25,2.1
6,University of Technology Sydney,30,2.1
8,Macquarie University,19,1.6
8,RMIT University,28,1.6
8,University of Queensland,17,1.6
11,University of Auckland,24,1.5
12,Queensland University of Technology,14,1.3
12,University of Western Australia,6,1.3
12,University of Wollongong,10,1.3
12,Victoria University of Wellington,18,1.3
16,University of Canterbury,5,1.2
16,University of Waikato,8,1.2
18,Massey University,6,1.1
18,University of Otago,7,1.1
