Rank,University,Faculty Count,Publication Count
1,Monash University,26,3.6
2,University of Sydney,12,2.3
3,University of Melbourne,21,2.2
4,Australian National University,10,2.0
4,UNSW,9,2.0
6,Queensland University of Technology,14,1.9
6,University of Adelaide,9,1.9
8,University of Canterbury,2,1.8
9,University of Queensland,7,1.6
9,University of Technology Sydney,4,1.6
9,Victoria University of Wellington,8,1.6
12,Macquarie University,2,1.3
12,RMIT University,6,1.3
12,University of Auckland,5,1.3
12,University of Otago,2,1.3
12,University of Western Australia,2,1.3
17,Massey University,3,1.2
18,University of Waikato,1,1.0
