Rank,University,Faculty Count,Publication Count
1,University of Toronto,57,24.0
2,University of Waterloo,45,20.0
3,University of Alberta,36,16.3
4,University of British Columbia,29,13.2
5,University of Montreal,20,12.0
6,Simon Fraser University,32,11.6
7,McGill University,15,5.6
8,York University,12,4.5
9,Carleton University,5,3.6
9,University of Ottawa,9,3.6
11,Université Laval,12,3.3
12,ETS Montreal,11,2.7
13,Concordia University,6,2.2
14,University of Guelph,4,2.1
15,Dalhousie University,4,2.0
15,Queen’s University,3,2.0
17,University of Manitoba,4,1.9
18,Western University,4,1.8
19,McMaster University,3,1.6
19,Polytechnique Montreal,2,1.6
19,University of Victoria,8,1.6
19,Université du Québec à Montréal,8,1.6
23,University of Regina,6,1.5
24,Toronto Metropolitan University,2,1.4
24,Université de Sherbrooke,4,1.4
26,University of New Brunswick,2,1.3
27,University of Calgary,2,1.2
28,Brock University,1,1.1
29,University of Saskatchewan,1,1.0
