Rank,University,Faculty Count,Publication Count
1,University of Toronto,101,8.7
2,University of Waterloo,97,7.0
3,University of British Columbia,59,4.3
4,Simon Fraser University,51,4.0
5,McGill University,24,2.5
6,University of Alberta,43,2.2
7,University of Montreal,27,1.9
8,Carleton University,17,1.7
8,University of Victoria,22,1.7
10,York University,20,1.6
11,University of Calgary,22,1.5
12,Concordia University,18,1.4
12,University of Guelph,11,1.4
12,University of Manitoba,11,1.4
12,University of Ottawa,15,1.4
12,Université Laval,13,1.4
17,Dalhousie University,14,1.3
17,Queen’s University,10,1.3
19,ETS Montreal,11,1.2
19,Université de Sherbrooke,8,1.2
21,McMaster University,8,1.1
21,Memorial University of Newfoundland,3,1.1
21,Polytechnique Montreal,3,1.1
21,Toronto Metropolitan University,2,1.1
21,University of New Brunswick,3,1.1
21,University of Regina,7,1.1
21,University of Saskatchewan,4,1.1
21,Université du Québec à Montréal,11,1.1
21,Western University,5,1.1
30,Brock University,2,1.0
30,Ontario Tech University,1,1.0
30,University of Windsor,1,1.0
