Rank,University,Faculty Count,Publication Count
1,ETH Zurich,47,10.7
2,Max Planck Society,41,6.6
3,EPFL,62,6.3
4,Technion,73,5.1
4,Tel Aviv University,46,5.1
4,University of Edinburgh,80,5.1
7,TU Munich,58,4.2
8,Imperial College London,53,3.8
9,University College London,58,3.7
9,University of Oxford,52,3.7
11,TU Delft,76,3.6
12,Hebrew University of Jerusalem,49,3.4
12,TU Darmstadt,28,3.4
12,University of Cambridge,48,3.4
15,Saarland University,28,3.0
16,Aarhus University,34,2.8
17,CISPA Helmholtz Center,40,2.7
18,Bar-Ilan University,28,2.6
18,RWTH Aachen University,27,2.6
18,Sapienza University of Rome,44,2.6
18,TU Berlin,28,2.6
18,TU Wien,40,2.6
18,Universidade de Lisboa,64,2.6
18,University of Copenhagen,45,2.6
25,IST Austria,14,2.4
25,University of Amsterdam,34,2.4
25,University of Stuttgart,26,2.4
25,University of Warwick,35,2.4
29,Aalto University,35,2.3
29,Graz University of Technology,32,2.3
29,King's College London,37,2.3
29,LMU Munich,27,2.3
29,University of Bristol,48,2.3
