Rank,University,Faculty Count,Publication Count
1,TU Munich,8,36.7
2,University of Edinburgh,12,20.8
3,EPFL,11,20.3
4,Aalborg University,9,17.6
5,Hasso Plattner Institute,4,14.0
6,ETH Zurich,8,12.4
7,TU Berlin,3,12.1
8,TU Darmstadt,5,11.1
9,Tel Aviv University,5,10.6
10,University of Warwick,6,9.8
11,University of Mannheim,3,8.6
12,CWI,4,8.5
12,Technion,5,8.5
14,Imperial College London,5,7.3
15,Humboldt University of Berlin,3,6.9
16,University of Oxford,5,6.2
17,University of Ioannina,1,6.0
18,EURECOM,3,5.7
18,Hebrew University of Jerusalem,2,5.7
20,Aarhus University,4,5.1
21,Saarland University,2,4.7
22,TU Dresden,1,4.5
23,University of Amsterdam,2,3.7
24,Bar-Ilan University,2,3.6
25,TU Dortmund,3,3.4
25,University of Copenhagen,4,3.4
25,University of Hannover,1,3.4
25,University of Helsinki,4,3.4
25,University of Salzburg,2,3.4
30,KTH Royal Institute of Technology,4,3.2
30,Sapienza University of Rome,9,3.2
