Rank,University,Faculty Count,Publication Count
1,ETH Zurich,24,10.1
2,EPFL,29,5.4
3,Max Planck Society,27,4.4
4,Imperial College London,26,3.2
4,Technion,28,3.2
4,University of Edinburgh,33,3.2
7,TU Darmstadt,18,2.9
7,TU Delft,33,2.9
7,TU Munich,23,2.9
10,Tel Aviv University,13,2.8
10,University of Cambridge,27,2.8
12,Saarland University,9,2.2
12,Uppsala University,15,2.2
14,CISPA Helmholtz Center,28,2.1
14,KTH Royal Institute of Technology,18,2.1
14,Universidade de Lisboa,24,2.1
14,University College London,21,2.1
14,VU Amsterdam,11,2.1
19,Aarhus University,16,2.0
19,Chalmers/GU,25,2.0
19,TU Wien,18,2.0
19,University of Oxford,21,2.0
19,University of Stuttgart,11,2.0
24,Politecnico di Milano,19,1.9
24,TU Dortmund,9,1.9
24,TU Dresden,8,1.9
27,IMDEA Software Institute,13,1.8
27,KU Leuven,14,1.8
27,TU Berlin,8,1.8
30,Hebrew University of Jerusalem,11,1.7
30,Ruhr-University Bochum,16,1.7
